in:name,in:building width,in:building length,in:core width,in:core length,in:floor to floor,in:length shift,in:width shift,in:concrete or steel,in:glass performance,in:glazing ratio %,out:floor area,out:ECe Steel,out:EE Steel,out:ECe Concrete,out:EE Concrete,out:ECe Glazing,out:EE Glazing,out:Daylight Factor %,out:Total Cooling kwh,out:Total Heating kwh,out: Steel ECe/m2,out: Steel EE/m2,out:Concrete ECe/m2,out:Concrete EE/m2,out:Glazing ECe/m2,out:Glazing EE/m2,out:Total Ece,out: Total EE,:img,:threed
6.8-16.4-2.6-5.4-5.0--0.2-0.1-0.0-2.0-0.3,6.8,16.4,2.6,5.4,5,-0.2,0.1,0,2,30,3190.9,968421.4,12145000,904109.6,5803400,1044956,20508290,86.4,166561,217363,303.5,3806.1,283.3,1818.7,327.5,6427.1,2917487,38456690,6.8-16.4-2.6-5.4-5.0--0.2-0.1-0.0-2.0-0.3_0__Perspective.png,6.8-16.4-2.6-5.4-5.0--0.2-0.1-0.0-2.0-0.3.json
6.8-16.8-2.9-4.0-4.6-0.8--0.4-0.0-2.0-0.5,6.8,16.8,2.9,4,4.6,0.8,-0.4,0,2,50,3568.6,1037100,13007000,968271.6,6215300,917956,18015790,65.9,161580,215572,290.6,3644.8,271.3,1741.7,257.2,5048.4,2923328,37238090,6.8-16.8-2.9-4.0-4.6-0.8--0.4-0.0-2.0-0.5_0__Perspective.png,6.8-16.8-2.9-4.0-4.6-0.8--0.4-0.0-2.0-0.5.json
6.5-16.2-3.3-4.8-4.2--1.0--0.4-0.0-2.0-0.7,6.5,16.2,3.3,4.8,4.2,-1,-0.4,0,2,70,3164.6,958224.7,12017000,894590,5742300,752856,14775540,57.8,144432,195041,302.8,3797.3,282.7,1814.5,237.9,4669.0,2605671,32534840,6.5-16.2-3.3-4.8-4.2--1.0--0.4-0.0-2.0-0.7_0__Perspective.png,6.5-16.2-3.3-4.8-4.2--1.0--0.4-0.0-2.0-0.7.json
7.9-17.2-2.8-5.3-4.6-1.5-0.7-0.0-1.0-0.5,7.9,17.2,2.8,5.3,4.6,1.5,0.7,0,1,50,4421.4,1374900,17243000,1283600,8239300,577060,11314160,52.1,179726,247893,311.0,3899.9,290.3,1863.5,130.5,2559.0,3235560,36796460,7.9-17.2-2.8-5.3-4.6-1.5-0.7-0.0-1.0-0.5_0__Perspective.png,7.9-17.2-2.8-5.3-4.6-1.5-0.7-0.0-1.0-0.5.json
8.8-16.5-2.5-5.6-6.2-0.2-0.3-0.0-0.0-0.9,8.8,16.5,2.5,5.6,6.2,0.2,0.3,0,0,90,4358,1713900,21494000,1600100,10271000,584505,11459650,68.9,223736,267503,393.3,4932.1,367.2,2356.8,134.1,2629.6,3898505,43224650,8.8-16.5-2.5-5.6-6.2-0.2-0.3-0.0-0.0-0.9_0__Perspective.png,8.8-16.5-2.5-5.6-6.2-0.2-0.3-0.0-0.0-0.9.json
7.7-16.6-2.7-4.9-5.8-1.8-0.1-0.0-0.0-0.4,7.7,16.6,2.7,4.9,5.8,1.8,0.1,0,0,40,4035,1309000,16417000,1222100,7844400,667647,13089710,87.7,208490,233618,324.4,4068.6,302.9,1944.1,165.5,3244.0,3198747,37351110,7.7-16.6-2.7-4.9-5.8-1.8-0.1-0.0-0.0-0.4_0__Perspective.png,7.7-16.6-2.7-4.9-5.8-1.8-0.1-0.0-0.0-0.4.json
6.9-16.7-3.1-4.2-5.7-0.9--0.6-1.0-1.0-0.6,6.9,16.7,3.1,4.2,5.7,0.9,-0.6,1,1,60,3647.3,1348200,16908000,462882.1,2971200,657885,12898860,89,175200,235018,369.6,4635.8,126.9,814.6,180.4,3536.6,2468967,32778060,6.9-16.7-3.1-4.2-5.7-0.9--0.6-1.0-1.0-0.6_0__Perspective.png,6.9-16.7-3.1-4.2-5.7-0.9--0.6-1.0-1.0-0.6.json
6.8-17.9-3.0-3.7-4.4-0.5-0.3-1.0-1.0-0.6,6.8,17.9,3,3.7,4.4,0.5,0.3,1,1,60,3746.7,1651300,20709000,382203.5,2453300,538020,10548720,57.5,167235,224362,440.7,5527.3,102.0,654.8,143.6,2815.5,2571524,33711020,6.8-17.9-3.0-3.7-4.4-0.5-0.3-1.0-1.0-0.6_0__Perspective.png,6.8-17.9-3.0-3.7-4.4-0.5-0.3-1.0-1.0-0.6.json
8.7-17.5-3.3-3.4-5.2--0.3-0.5-0.0-1.0-0.0,8.7,17.5,3.3,3.4,5.2,-0.3,0.5,0,1,0,4782,1428500,17915000,1333600,8560200,807945,15841020,74.4,211502,284172,298.7,3746.3,278.9,1790.1,169.0,3312.6,3570045,42316220,8.7-17.5-3.3-3.4-5.2--0.3-0.5-0.0-1.0-0.0_0__Perspective.png,8.7-17.5-3.3-3.4-5.2--0.3-0.5-0.0-1.0-0.0.json
6.9-18.4-3.4-3.9-5.7--0.7--0.5-1.0-1.0-0.7,6.9,18.4,3.4,3.9,5.7,-0.7,-0.5,1,1,70,3966.7,1411000,17695000,498056.1,3197000,692045,13568620,89.9,193152,256265,355.7,4460.9,125.6,806.0,174.5,3420.6,2601101,34460620,6.9-18.4-3.4-3.9-5.7--0.7--0.5-1.0-1.0-0.7_0__Perspective.png,6.9-18.4-3.4-3.9-5.7--0.7--0.5-1.0-1.0-0.7.json
