in:name,in:building width,in:building length,in:core width,in:core length,in:floor to floor,in:length shift,in:width shift,in:concrete or steel,in:glass performance,in:glazing ratio %,out:floor area,out:ECe Steel,out:EE Steel,out:ECe Concrete,out:EE Concrete,out:ECe Glazing,out:EE Glazing,out:Daylight Factor %,out:Total Cooling kwh,out:Total Heating kwh,out: Steel ECe/m2,out: Steel EE/m2,out:Concrete ECe/m2,out:Concrete EE/m2,out:Glazing ECe/m2,out:Glazing EE/m2,out:Total Ece,out: Total EE,:img,:threed
6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0,6.9,16,3.1,3.5,5.8,-1.9,-0.7,0,1,0,3737.1,1038800,13028000,969797.4,6225100,787815,15446340,97.4,174645,230484,278.0,3486.1,259.5,1665.8,210.8,4133.2,2796412,34699440,6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0_0__Perspective.png,6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0.json
7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7,7.9,16.2,3,4.5,4.5,-0.5,0.2,1,0,70,3833.5,1929500,24199000,444055.4,2850400,453375,8888750,58.2,184326,215815,503.3,6312.5,115.8,743.6,118.3,2318.7,2826930,35938150,7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7_0__Perspective.png,7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7.json
6.6-17.1-2.9-3.3-4.7--0.3-0.4-1.0-1.0-0.5,6.6,17.1,2.9,3.3,4.7,-0.3,0.4,1,1,50,3514.1,1590800,19950000,356665,2289400,568520,11146720,75.5,165834,215613,452.7,5677.1,101.5,651.5,161.8,3172.0,2515985,33386120,6.6-17.1-2.9-3.3-4.7--0.3-0.4-1.0-1.0-0.5_0__Perspective.png,6.6-17.1-2.9-3.3-4.7--0.3-0.4-1.0-1.0-0.5.json
7.9-16.5-3.2-3.1-4.1--1.1-0.2-0.0-2.0-0.8,7.9,16.5,3.2,3.1,4.1,-1.1,0.2,0,2,80,4136.2,1289700,16175000,1204100,7728800,732028,14366770,39.8,165650,229113,311.8,3910.6,291.1,1868.6,177.0,3473.4,3225828,38270570,7.9-16.5-3.2-3.1-4.1--1.1-0.2-0.0-2.0-0.8_0__Perspective.png,7.9-16.5-3.2-3.1-4.1--1.1-0.2-0.0-2.0-0.8.json
7.3-15.5-2.8-3.1-5.2--1.5-0.0-0.0-0.0-0.3,7.3,15.5,2.8,3.1,5.2,-1.5,0,0,0,30,3605.8,1060400,13299000,989994.3,6354700,581436,11399480,80.5,179439,203009,294.1,3688.2,274.6,1762.4,161.3,3161.4,2631830,31053180,7.3-15.5-2.8-3.1-5.2--1.5-0.0-0.0-0.0-0.3_0__Perspective.png,7.3-15.5-2.8-3.1-5.2--1.5-0.0-0.0-0.0-0.3.json
8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.9,8.5,18.3,2.9,3.9,5.7,-0.8,-0.6,0,1,90,5030.9,1757300,22039000,1640600,10531000,647210,12689560,59.7,216152,298801,349.3,4380.7,326.1,2093.3,128.6,2522.3,4045110,45259560,8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.9_0__Perspective.png,8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.9.json
8.9-16.9-2.5-5.7-6.2-0.1-0.7-0.0-0.0-0.9,8.9,16.9,2.5,5.7,6.2,0.1,0.7,0,0,90,4660.7,1809400,22692000,1689200,10843000,598455,11733150,63.9,227443,276560,388.2,4868.8,362.4,2326.5,128.4,2517.5,4097055,45268150,8.9-16.9-2.5-5.7-6.2-0.1-0.7-0.0-0.0-0.9_0__Perspective.png,8.9-16.9-2.5-5.7-6.2-0.1-0.7-0.0-0.0-0.9.json
8.7-16.9-3.2-3.6-4.9--0.6-0.3-0.0-2.0-0.1,8.7,16.9,3.2,3.6,4.9,-0.6,0.3,0,2,10,4579,1389100,17421000,1296800,8324200,1196848,23489320,65,198922,269581,303.4,3804.5,283.2,1817.9,261.4,5129.8,3882748,49234520,8.7-16.9-3.2-3.6-4.9--0.6-0.3-0.0-2.0-0.1_0__Perspective.png,8.7-16.9-3.2-3.6-4.9--0.6-0.3-0.0-2.0-0.1.json
8.3-19.8-3.3-5.0-4.3--0.3--0.6-1.0-1.0-0.7,8.3,19.8,3.3,5,4.3,-0.3,-0.6,1,1,70,5071.4,1564600,19622000,505423.6,3244300,568520,11146720,48.2,210801,286550,308.5,3869.1,99.7,639.7,112.1,2198.0,2638544,34013020,8.3-19.8-3.3-5.0-4.3--0.3--0.6-1.0-1.0-0.7_0__Perspective.png,8.3-19.8-3.3-5.0-4.3--0.3--0.6-1.0-1.0-0.7.json
8.4-19.5-2.5-3.9-6.0--0.2--1.0-0.0-0.0-0.9,8.4,19.5,2.5,3.9,6,-0.2,-1,0,0,90,5433.1,1865300,23393000,1741400,11178000,662067,12980310,62.4,246388,297295,343.3,4305.6,320.5,2057.4,121.9,2389.1,4268767,47551310,8.4-19.5-2.5-3.9-6.0--0.2--1.0-0.0-0.0-0.9_0__Perspective.png,8.4-19.5-2.5-3.9-6.0--0.2--1.0-0.0-0.0-0.9.json
8.6-15.1-2.7-3.5-5.5--1.3--0.3-0.0-0.0-0.3,8.6,15.1,2.7,3.5,5.5,-1.3,-0.3,0,0,30,4220.8,1356800,17016000,1266700,8130800,630261,12356730,72.3,198059,230850,321.5,4031.5,300.1,1926.4,149.3,2927.6,3253761,37503530,8.6-15.1-2.7-3.5-5.5--1.3--0.3-0.0-0.0-0.3_0__Perspective.png,8.6-15.1-2.7-3.5-5.5--1.3--0.3-0.0-0.0-0.3.json
7.2-17.1-3.1-3.3-4.2--0.6--0.8-0.0-0.0-0.4,7.2,17.1,3.1,3.3,4.2,-0.6,-0.8,0,0,40,4033,1127900,14145000,1053000,6759100,487971,9567030,50.9,171915,207201,279.7,3507.3,261.1,1675.9,121.0,2372.2,2668871,30471130,7.2-17.1-3.1-3.3-4.2--0.6--0.8-0.0-0.0-0.4_0__Perspective.png,7.2-17.1-3.1-3.3-4.2--0.6--0.8-0.0-0.0-0.4.json
8.6-19.6-2.8-4.7-6.2-0.8-0.5-1.0-1.0-0.9,8.6,19.6,2.8,4.7,6.2,0.8,0.5,1,1,90,5363.5,2356300,29551000,691583.6,4439200,752435,14752660,68,238862,330262,439.3,5509.6,128.9,827.7,140.3,2750.6,3800319,48742860,8.6-19.6-2.8-4.7-6.2-0.8-0.5-1.0-1.0-0.9_0__Perspective.png,8.6-19.6-2.8-4.7-6.2-0.8-0.5-1.0-1.0-0.9.json
8.1-16.5-2.5-5.2-4.2-1.6-0.7-0.0-2.0-0.4,8.1,16.5,2.5,5.2,4.2,1.6,0.7,0,2,40,4422.2,1339300,16796000,1250300,8025700,885952,17387680,44.7,169980,237216,302.9,3798.1,282.7,1814.9,200.3,3931.9,3475552,42209380,8.1-16.5-2.5-5.2-4.2-1.6-0.7-0.0-2.0-0.4_0__Perspective.png,8.1-16.5-2.5-5.2-4.2-1.6-0.7-0.0-2.0-0.4.json
8.3-18.7-2.8-3.0-5.6--0.5--0.1-0.0-0.0-0.1,8.3,18.7,2.8,3,5.6,-0.5,-0.1,0,0,10,4841.2,1423000,17847000,1328500,8527700,795150,15589500,84.7,243501,271243,293.9,3686.5,274.4,1761.5,164.2,3220.2,3546650,41964200,8.3-18.7-2.8-3.0-5.6--0.5--0.1-0.0-0.0-0.1_0__Perspective.png,8.3-18.7-2.8-3.0-5.6--0.5--0.1-0.0-0.0-0.1.json
8.6-16.7-3.2-4.1-6.4--1.8--0.6-0.0-1.0-0.3,8.6,16.7,3.2,4.1,6.4,-1.8,-0.6,0,1,30,4762.1,1590400,19946000,1484800,9530700,862235,16905460,89.8,215834,291488,334.0,4188.5,311.8,2001.4,181.1,3550.0,3937435,46382160,8.6-16.7-3.2-4.1-6.4--1.8--0.6-0.0-1.0-0.3_0__Perspective.png,8.6-16.7-3.2-4.1-6.4--1.8--0.6-0.0-1.0-0.3.json
8.0-16.6-3.0-4.2-5.1-0.2--0.8-0.0-1.0-0.0,8,16.6,3,4.2,5.1,0.2,-0.8,0,1,0,4199.7,1220600,15308000,1139600,7314900,744200,14591200,78.6,187827,252664,290.6,3645.0,271.4,1741.8,177.2,3474.3,3104400,37214100,8.0-16.6-3.0-4.2-5.1-0.2--0.8-0.0-1.0-0.0_0__Perspective.png,8.0-16.6-3.0-4.2-5.1-0.2--0.8-0.0-1.0-0.0.json
6.5-15.4-3.0-3.1-5.5--0.8-0.6-0.0-0.0-0.5,6.5,15.4,3,3.1,5.5,-0.8,0.6,0,0,50,3240.6,979785.3,12288000,914718.8,5871500,556605,10912650,93,169205,188262,302.3,3791.9,282.3,1811.9,171.8,3367.5,2451109,29072150,6.5-15.4-3.0-3.1-5.5--0.8-0.6-0.0-0.0-0.5_0__Perspective.png,6.5-15.4-3.0-3.1-5.5--0.8-0.6-0.0-0.0-0.5.json
7.9-15.8-2.7-4.0-4.3-0.5-0.7-0.0-1.0-0.0,7.9,15.8,2.7,4,4.3,0.5,0.7,0,1,0,4000.5,1116900,14008000,1042800,6693400,604510,11852360,59.9,164152,226632,279.2,3501.6,260.7,1673.1,151.1,2962.7,2764210,32553760,7.9-15.8-2.7-4.0-4.3-0.5-0.7-0.0-1.0-0.0_0__Perspective.png,7.9-15.8-2.7-4.0-4.3-0.5-0.7-0.0-1.0-0.0.json
8.5-17.1-3.1-4.1-6.2-1.6--0.4-0.0-1.0-0.0,8.5,17.1,3.1,4.1,6.2,1.6,-0.4,0,1,0,4719.7,1457300,18276000,1360500,8733000,941230,18454280,94.6,219206,292771,308.8,3872.3,288.3,1850.3,199.4,3910.1,3759030,45463280,8.5-17.1-3.1-4.1-6.2-1.6--0.4-0.0-1.0-0.0_0__Perspective.png,8.5-17.1-3.1-4.1-6.2-1.6--0.4-0.0-1.0-0.0.json
6.2-15.4-2.7-3.1-5.5-0.9--0.6-1.0-1.0-0.6,6.2,15.4,2.7,3.1,5.5,0.9,-0.6,1,1,60,3130.2,1087100,13633000,379301.5,2434700,583160,11433760,94.5,150176,199486,347.3,4355.3,121.2,777.8,186.3,3652.7,2049562,27501460,6.2-15.4-2.7-3.1-5.5-0.9--0.6-1.0-1.0-0.6_0__Perspective.png,6.2-15.4-2.7-3.1-5.5-0.9--0.6-1.0-1.0-0.6.json
6.6-15.0-2.7-3.3-4.3--1.2-0.5-0.0-0.0-0.8,6.6,15,2.7,3.3,4.3,-1.2,0.5,0,0,80,3238.6,962201.6,12067000,898302.8,5766100,380835,7466550,50.9,144977,172459,297.1,3726.0,277.4,1780.4,117.6,2305.5,2241339,25299650,6.6-15.0-2.7-3.3-4.3--1.2-0.5-0.0-0.0-0.8_0__Perspective.png,6.6-15.0-2.7-3.3-4.3--1.2-0.5-0.0-0.0-0.8.json
8.4-15.9-3.4-4.0-4.6--1.2--0.5-0.0-1.0-0.4,8.4,15.9,3.4,4,4.6,-1.2,-0.5,0,1,40,4257,1346800,16891000,1257400,8071000,571265,11200540,52.8,175379,242600,316.4,3967.8,295.4,1895.9,134.2,2631.1,3175465,36162540,8.4-15.9-3.4-4.0-4.6--1.2--0.5-0.0-1.0-0.4_0__Perspective.png,8.4-15.9-3.4-4.0-4.6--1.2--0.5-0.0-1.0-0.4.json
7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-1.0-0.6,7.9,18,2.9,3.2,5.8,0.2,-0.7,1,1,60,4590.4,1443600,18105000,494533.8,3174400,727730,14268280,83.5,212064,279854,314.5,3944.1,107.7,691.5,158.5,3108.3,2665864,35547680,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-1.0-0.6_0__Perspective.png,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-1.0-0.6.json
6.8-17.5-2.6-5.4-5.0--0.1-0.8-1.0-2.0-0.4,6.8,17.5,2.6,5.4,5,-0.1,0.8,1,2,40,3709.1,1277600,16023000,403859.9,2592300,1065784,20917060,84.6,176782,230946,344.5,4319.9,108.9,698.9,287.3,5639.4,2747244,39532360,6.8-17.5-2.6-5.4-5.0--0.1-0.8-1.0-2.0-0.4_0__Perspective.png,6.8-17.5-2.6-5.4-5.0--0.1-0.8-1.0-2.0-0.4.json
7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.9,7.8,15.2,3,4.3,5.7,1.6,-0.4,0,1,90,3811.2,1381900,17330000,1290100,8281000,540155,10590580,66.7,172080,236654,362.6,4547.1,338.5,2172.8,141.7,2778.8,3212155,36201580,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.9_0__Perspective.png,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.9.json
8.9-18.8-3.4-3.6-4.9-0.3--0.8-0.0-1.0-0.7,8.9,18.8,3.4,3.6,4.9,0.3,-0.8,0,1,70,5381.8,1782900,22360000,1664500,10684000,624030,12235080,44.3,217061,300847,331.3,4154.7,309.3,1985.2,116.0,2273.4,4071430,45279080,8.9-18.8-3.4-3.6-4.9-0.3--0.8-0.0-1.0-0.7_0__Perspective.png,8.9-18.8-3.4-3.6-4.9-0.3--0.8-0.0-1.0-0.7.json
7.3-17.4-3.4-4.0-5.3--1.3--0.9-0.0-2.0-0.7,7.3,17.4,3.4,4,5.3,-1.3,-0.9,0,2,70,4205,1336000,16755000,1247200,8005900,1025652,20129430,66,180966,247937,317.7,3984.5,296.6,1903.9,243.9,4787.0,3608852,44890330,7.3-17.4-3.4-4.0-5.3--1.3--0.9-0.0-2.0-0.7_0__Perspective.png,7.3-17.4-3.4-4.0-5.3--1.3--0.9-0.0-2.0-0.7.json
8.4-15.3-2.7-4.7-6.0-1.8--0.1-1.0-2.0-0.8,8.4,15.3,2.7,4.7,6,1.8,-0.1,1,2,80,4101.8,2369000,29710000,587216.8,3769300,1006348,19750570,68.9,184332,257298,577.6,7243.2,143.2,918.9,245.3,4815.1,3962565,53229870,8.4-15.3-2.7-4.7-6.0-1.8--0.1-1.0-2.0-0.8_0__Perspective.png,8.4-15.3-2.7-4.7-6.0-1.8--0.1-1.0-2.0-0.8.json
6.2-16.8-2.7-3.5-5.9-1.7-0.6-0.0-0.0-0.8,6.2,16.8,2.7,3.5,5.9,1.7,0.6,0,0,80,3501.1,1103500,13840000,1030200,6613100,577530,11322900,95.8,183117,202568,315.2,3953.0,294.3,1888.9,165.0,3234.1,2711230,31776000,6.2-16.8-2.7-3.5-5.9-1.7-0.6-0.0-0.0-0.8_0__Perspective.png,6.2-16.8-2.7-3.5-5.9-1.7-0.6-0.0-0.0-0.8.json
6.3-19.9-2.8-4.3-5.2--1.2--1.0-0.0-1.0-0.5,6.3,19.9,2.8,4.3,5.2,-1.2,-1,0,1,50,4256.8,1182000,14824000,1103500,7083600,710955,13939380,83,187403,249937,277.7,3482.4,259.2,1664.1,167.0,3274.6,2996455,35846980,6.3-19.9-2.8-4.3-5.2--1.2--1.0-0.0-1.0-0.5_0__Perspective.png,6.3-19.9-2.8-4.3-5.2--1.2--1.0-0.0-1.0-0.5.json
6.7-19.8-3.3-5.9-5.6--0.7--0.2-1.0-2.0-0.3,6.7,19.8,3.3,5.9,5.6,-0.7,-0.2,1,2,30,3826.3,1832400,22981000,447776,2874300,1354836,26589990,97.4,206736,265871,478.9,6006.1,117.0,751.2,354.1,6949.3,3635012,52445290,6.7-19.8-3.3-5.9-5.6--0.7--0.2-1.0-2.0-0.3_0__Perspective.png,6.7-19.8-3.3-5.9-5.6--0.7--0.2-1.0-2.0-0.3.json
7.7-18.7-2.5-4.5-5.2-1.1--0.6-0.0-1.0-0.6,7.7,18.7,2.5,4.5,5.2,1.1,-0.6,0,1,60,4704.4,1460400,18315000,1363400,8751800,671610,13167960,61.2,202727,272809,310.4,3893.2,289.8,1860.3,142.8,2799.1,3495410,40234760,7.7-18.7-2.5-4.5-5.2-1.1--0.6-0.0-1.0-0.6_0__Perspective.png,7.7-18.7-2.5-4.5-5.2-1.1--0.6-0.0-1.0-0.6.json
6.3-17.0-3.4-4.1-6.4--1.0-0.8-0.0-1.0-0.4,6.3,17,3.4,4.1,6.4,-1,0.8,0,1,40,3439.5,1089200,13660000,1016900,6527300,788730,15464280,99.6,182809,236328,316.7,3971.5,295.7,1897.7,229.3,4496.1,2894830,35651580,6.3-17.0-3.4-4.1-6.4--1.0-0.8-0.0-1.0-0.4_0__Perspective.png,6.3-17.0-3.4-4.1-6.4--1.0-0.8-0.0-1.0-0.4.json
7.7-18.7-3.0-5.7-5.8-1.5-0.7-0.0-1.0-0.7,7.7,18.7,3,5.7,5.8,1.5,0.7,0,1,70,4626.6,1561700,19586000,1458000,9359000,722545,14166620,75.1,210616,284452,337.5,4233.3,315.1,2022.9,156.2,3062.0,3742245,43111620,7.7-18.7-3.0-5.7-5.8-1.5-0.7-0.0-1.0-0.7_0__Perspective.png,7.7-18.7-3.0-5.7-5.8-1.5-0.7-0.0-1.0-0.7.json
7.1-19.3-3.4-5.8-4.4--0.8-0.6-0.0-1.0-0.8,7.1,19.3,3.4,5.8,4.4,-0.8,0.6,0,1,80,4156.6,1292700,16212000,1206800,7746600,540765,10602540,52.8,184074,248687,311.0,3900.3,290.3,1863.7,130.1,2550.8,3040265,34561140,7.1-19.3-3.4-5.8-4.4--0.8-0.6-0.0-1.0-0.8_0__Perspective.png,7.1-19.3-3.4-5.8-4.4--0.8-0.6-0.0-1.0-0.8.json
7.0-16.5-3.3-4.7-5.1-0.8--0.3-0.0-2.0-0.2,7,16.5,3.3,4.7,5.1,0.8,-0.3,0,2,20,3447.1,1025200,12857000,957071.2,6143400,1113536,21854240,86.7,171567,225605,297.4,3729.8,277.6,1782.2,323.0,6339.9,3095807,40854640,7.0-16.5-3.3-4.7-5.1-0.8--0.3-0.0-2.0-0.2_0__Perspective.png,7.0-16.5-3.3-4.7-5.1-0.8--0.3-0.0-2.0-0.2.json
7.0-16.3-3.3-3.3-4.2--0.4-0.9-0.0-0.0-0.5,7,16.3,3.3,3.3,4.2,-0.4,0.9,0,0,50,3713.4,1058200,13271000,987918.8,6341400,451143,8844990,49.9,161941,193425,285.0,3573.8,266.0,1707.7,121.5,2381.9,2497262,28457390,7.0-16.3-3.3-3.3-4.2--0.4-0.9-0.0-0.0-0.5_0__Perspective.png,7.0-16.3-3.3-3.3-4.2--0.4-0.9-0.0-0.0-0.5.json
7.0-19.2-3.4-3.1-5.6-1.9--1.0-0.0-0.0-0.6,7,19.2,3.4,3.1,5.6,1.9,-1,0,0,60,4697.9,1389800,17430000,1297500,8328700,668484,13106120,79.4,216944,245925,295.8,3710.2,276.2,1772.9,142.3,2789.8,3355784,38864820,7.0-19.2-3.4-3.1-5.6-1.9--1.0-0.0-0.0-0.6_0__Perspective.png,7.0-19.2-3.4-3.1-5.6-1.9--1.0-0.0-0.0-0.6.json
7.6-19.4-2.9-4.9-5.3-1.7-0.1-0.0-0.0-0.0,7.6,19.4,2.9,4.9,5.3,1.7,0.1,0,0,0,4615.9,1308500,16410000,1221600,7841300,776457,15223010,87.3,233566,256929,283.5,3555.1,264.7,1698.8,168.2,3298.0,3306557,39474310,7.6-19.4-2.9-4.9-5.3-1.7-0.1-0.0-0.0-0.0_0__Perspective.png,7.6-19.4-2.9-4.9-5.3-1.7-0.1-0.0-0.0-0.0.json
7.8-16.2-2.9-5.0-6.1-1.4-0.1-0.0-2.0-0.7,7.8,16.2,2.9,5,6.1,1.4,0.1,0,2,70,3877.1,1398900,17544000,1306000,8383000,1117092,21924030,79.1,191963,256997,360.8,4525.0,336.8,2162.2,288.1,5654.7,3821992,47851030,7.8-16.2-2.9-5.0-6.1-1.4-0.1-0.0-2.0-0.7_0__Perspective.png,7.8-16.2-2.9-5.0-6.1-1.4-0.1-0.0-2.0-0.7.json
6.1-15.3-2.8-4.1-6.1-1.3--0.6-0.0-1.0-0.4,6.1,15.3,2.8,4.1,6.1,1.3,-0.6,0,1,40,3011.1,943771.9,11836000,881097,5655700,685945,13449020,98.9,158655,206116,313.4,3930.8,292.6,1878.3,227.8,4466.5,2510814,30940720,6.1-15.3-2.8-4.1-6.1-1.3--0.6-0.0-1.0-0.4_0__Perspective.png,6.1-15.3-2.8-4.1-6.1-1.3--0.6-0.0-1.0-0.4.json
8.8-15.4-3.2-3.4-5.9--1.2-0.1-0.0-1.0-0.1,8.8,15.4,3.2,3.4,5.9,-1.2,0.1,0,1,10,4276,1367000,17144000,1276300,8192200,815875,15996500,88.5,198370,268371,319.7,4009.4,298.5,1915.9,190.8,3741.0,3459175,41332700,8.8-15.4-3.2-3.4-5.9--1.2-0.1-0.0-1.0-0.1_0__Perspective.png,8.8-15.4-3.2-3.4-5.9--1.2-0.1-0.0-1.0-0.1.json
7.3-17.3-2.9-5.6-4.8--1.7-0.1-0.0-0.0-0.7,7.3,17.3,2.9,5.6,4.8,-1.7,0.1,0,0,70,3856.9,1242800,15586000,1160200,7447400,507501,9949930,64,188654,219453,322.2,4041.1,300.8,1930.9,131.6,2579.8,2910501,32983330,7.3-17.3-2.9-5.6-4.8--1.7-0.1-0.0-0.0-0.7_0__Perspective.png,7.3-17.3-2.9-5.6-4.8--1.7-0.1-0.0-0.0-0.7.json
7.7-19.2-3.1-3.2-4.7--0.7-0.4-0.0-1.0-0.6,7.7,19.2,3.1,3.2,4.7,-0.7,0.4,0,1,60,4720.4,1410700,17692000,1317000,8454000,620980,12175280,55.2,200408,269336,298.9,3748.0,279.0,1790.9,131.6,2579.3,3348680,38321280,7.7-19.2-3.1-3.2-4.7--0.7-0.4-0.0-1.0-0.6_0__Perspective.png,7.7-19.2-3.1-3.2-4.7--0.7-0.4-0.0-1.0-0.6.json
7.2-18.1-2.8-3.3-6.3-0.5--0.6-1.0-0.0-0.5,7.2,18.1,2.8,3.3,6.3,0.5,-0.6,1,0,50,4214.4,1426300,17887000,465121.1,2985600,741582,14539260,98.8,229117,246375,338.4,4244.3,110.4,708.4,176.0,3449.9,2633003,35411860,7.2-18.1-2.8-3.3-6.3-0.5--0.6-1.0-0.0-0.5_0__Perspective.png,7.2-18.1-2.8-3.3-6.3-0.5--0.6-1.0-0.0-0.5.json
7.5-19.4-2.8-3.4-4.1-1.2-0.4-0.0-2.0-0.6,7.5,19.4,2.8,3.4,4.1,1.2,0.4,0,2,60,4742.1,1353400,16973000,1263500,8110300,907288,17806420,44.1,187988,255474,285.4,3579.2,266.4,1710.3,191.3,3755.0,3524188,42889720,7.5-19.4-2.8-3.4-4.1-1.2-0.4-0.0-2.0-0.6_0__Perspective.png,7.5-19.4-2.8-3.4-4.1-1.2-0.4-0.0-2.0-0.6.json
7.2-19.9-3.1-3.2-5.1-0.9--0.8-0.0-2.0-0.6,7.2,19.9,3.1,3.2,5.1,0.9,-0.8,0,2,60,4787.8,1391200,17447000,1298800,8336900,1147572,22522230,64.7,204202,272327,290.6,3644.1,271.3,1741.3,239.7,4704.1,3837572,48306130,7.2-19.9-3.1-3.2-5.1-0.9--0.8-0.0-2.0-0.6_0__Perspective.png,7.2-19.9-3.1-3.2-5.1-0.9--0.8-0.0-2.0-0.6.json
7.8-16.5-3.0-5.6-5.2--1.0--0.1-1.0-1.0-0.6,7.8,16.5,3,5.6,5.2,-1,-0.1,1,1,60,3805.2,2137400,26806000,489154.8,3139900,605120,11864320,67.6,180971,245433,561.7,7044.6,128.5,825.2,159.0,3117.9,3231675,41810220,7.8-16.5-3.0-5.6-5.2--1.0--0.1-1.0-1.0-0.6_0__Perspective.png,7.8-16.5-3.0-5.6-5.2--1.0--0.1-1.0-1.0-0.6.json
7.2-17.4-3.3-5.2-4.8-0.1-0.1-1.0-2.0-0.5,7.2,17.4,3.3,5.2,4.8,0.1,0.1,1,2,50,3518.6,1674500,21001000,420654.4,2700100,995680,19541200,73.5,181178,235298,475.9,5968.6,119.6,767.4,283.0,5553.7,3090834,43242300,7.2-17.4-3.3-5.2-4.8-0.1-0.1-1.0-2.0-0.5_0__Perspective.png,7.2-17.4-3.3-5.2-4.8-0.1-0.1-1.0-2.0-0.5.json
8.3-18.9-3.1-3.8-4.1--1.2-0.4-0.0-0.0-0.2,8.3,18.9,3.1,3.8,4.1,-1.2,0.4,0,0,20,5051.8,1455900,18258000,1359200,8724500,568044,11136920,46.3,210110,253662,288.2,3614.2,269.1,1727.0,112.4,2204.5,3383144,38119420,8.3-18.9-3.1-3.8-4.1--1.2-0.4-0.0-0.0-0.2_0__Perspective.png,8.3-18.9-3.1-3.8-4.1--1.2-0.4-0.0-0.0-0.2.json
8.9-16.8-3.0-5.8-4.0-0.0-0.0-0.0-1.0-0.7,8.9,16.8,3,5.8,4,0,0,0,1,70,4227.8,1430200,17937000,1335200,8570800,461770,9053720,36.7,182818,254675,338.3,4242.6,315.8,2027.2,109.2,2141.5,3227170,35561520,8.9-16.8-3.0-5.8-4.0-0.0-0.0-0.0-1.0-0.7_0__Perspective.png,8.9-16.8-3.0-5.8-4.0-0.0-0.0-0.0-1.0-0.7.json
8.7-15.4-2.8-5.6-6.0-1.4-0.3-1.0-1.0-0.9,8.7,15.4,2.8,5.6,6,1.4,0.3,1,1,90,4178.7,2028500,25440000,655404.3,4207000,578890,11350040,66.4,188651,265559,485.4,6088.0,156.8,1006.8,138.5,2716.2,3262794,40997040,8.7-15.4-2.8-5.6-6.0-1.4-0.3-1.0-1.0-0.9_0__Perspective.png,8.7-15.4-2.8-5.6-6.0-1.4-0.3-1.0-1.0-0.9.json
7.4-16.8-2.6-4.2-4.1--1.0--0.8-1.0-0.0-0.2,7.4,16.8,2.6,4.2,4.1,-1,-0.8,1,0,20,4109.8,1268400,15908000,324277.9,2081500,505269,9906170,51.9,169278,207508,308.6,3870.7,78.9,506.5,122.9,2410.4,2097947,27895670,7.4-16.8-2.6-4.2-4.1--1.0--0.8-1.0-0.0-0.2_0__Perspective.png,7.4-16.8-2.6-4.2-4.1--1.0--0.8-1.0-0.0-0.2.json
6.9-15.1-2.5-4.1-4.4-0.9--0.4-1.0-2.0-0.1,6.9,15.1,2.5,4.1,4.4,0.9,-0.4,1,2,10,3291.4,993172.4,12456000,278126.4,1785300,926084,18175310,72.8,145136,196387,301.7,3784.4,84.5,542.4,281.4,5522.1,2197383,32416610,6.9-15.1-2.5-4.1-4.4-0.9--0.4-1.0-2.0-0.1_0__Perspective.png,6.9-15.1-2.5-4.1-4.4-0.9--0.4-1.0-2.0-0.1.json
8.2-16.1-3.0-5.3-4.1--1.6--0.2-0.0-1.0-0.7,8.2,16.1,3,5.3,4.1,-1.6,-0.2,0,1,70,4100.3,1334400,16735000,1245800,7996600,451400,8850400,39.4,166620,231086,325.4,4081.4,303.8,1950.2,110.1,2158.5,3031600,33582000,8.2-16.1-3.0-5.3-4.1--1.6--0.2-0.0-1.0-0.7_0__Perspective.png,8.2-16.1-3.0-5.3-4.1--1.6--0.2-0.0-1.0-0.7.json
8.8-15.7-2.8-5.0-4.5--1.0--0.7-1.0-2.0-0.9,8.8,15.7,2.8,5,4.5,-1,-0.7,1,2,90,4431.3,1915800,24026000,535073.9,3434600,737108,14466470,37.2,169410,247097,432.3,5421.9,120.7,775.1,166.3,3264.6,3187982,41927070,8.8-15.7-2.8-5.0-4.5--1.0--0.7-1.0-2.0-0.9_0__Perspective.png,8.8-15.7-2.8-5.0-4.5--1.0--0.7-1.0-2.0-0.9.json
