Name,in:Elevator Width,in:Elevator Length,in:Module Width,in:Module Length,in:Floor Height,in:Length Shift,in:Width Shift,in:Glass Type,in:Solid Wall Amount,out:Total SF,out:Total Steel Tonnage,out:Total EE,out:Amount Glazed,img:Image Name,threeD,,,,,
10~14~32~78~14~0~2~4~0.13,10,14,32,78,14,0,2,4,0.13,79136,910.191271,14152.85079,2.85,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_14.0_32.0_78.0_14.0_0.0_2.0_4.0_0.13_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_14.0_32.0_78.0_14.0_-8.0_2.0_9.0_0.34.json,,,,,
10~14~32~78~14~-8~2~9~0.34,10,14,32,78,14,-8,2,9,0.34,84896,1022.142283,14814.59668,0.47,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_24.0_60.0_18.0_-4.0_-2.0_3.0_0.07_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_14.0_32.0_78.0_14.0_0.0_2.0_4.0_0.13.json,,,,,
10~16~24~60~18~-4~-2~3~0.07,10,16,24,60,18,-4,-2,3,0.07,45952,525.268854,14065.54666,6.14,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_24.0_64.0_16.0_4.0_-2.0_5.0_0.44_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_24.0_60.0_18.0_-4.0_-2.0_3.0_0.07.json,,,,,
10~16~24~64~16~4~-2~5~0.44,10,16,24,64,16,4,-2,5,0.44,49216,541.236787,13531.77828,0.14,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_24.0_68.0_18.0_2.0_-4.0_2.0_0.34_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_24.0_64.0_16.0_4.0_-2.0_5.0_0.44.json,,,,,
10~16~24~68~18~2~-4~2~0.34,10,16,24,68,18,2,-4,2,0.34,54592,353.752127,7973.329426,0.47,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_24.0_70.0_18.0_2.0_2.0_0.0_0.43_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_24.0_68.0_18.0_2.0_-4.0_2.0_0.34.json,,,,,
10~16~24~70~18~2~2~0~0.43,10,16,24,70,18,2,2,0,0.43,53056,569.427884,13206.03513,0.16,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_24.0_70.0_19.0_-4.0_-2.0_7.0_0.18_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_24.0_70.0_18.0_2.0_2.0_0.0_0.43.json,,,,,
10~16~24~70~19~-4~-2~7~0.18,10,16,24,70,19,-4,-2,7,0.18,54112,589.036207,13394.25636,1.78,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_24.0_72.0_18.0_0.0_-2.0_6.0_0.11_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_24.0_70.0_19.0_-4.0_-2.0_7.0_0.18.json,,,,,
10~16~24~72~18~0~-2~6~0.11,10,16,24,72,18,0,-2,6,0.11,53632,553.464481,12698.20257,3.55,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_24.0_74.0_19.0_4.0_-4.0_5.0_0.13_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_24.0_72.0_18.0_0.0_-2.0_6.0_0.11.json,,,,,
10~16~24~74~19~4~-4~5~0.13,10,16,24,74,19,4,-4,5,0.13,60736,450.936626,9135.767914,2.85,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_26.0_70.0_16.0_-2.0_-4.0_7.0_0.3_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_24.0_74.0_19.0_4.0_-4.0_5.0_0.13.json,,,,,
10~16~26~70~16~-2~-4~7~0.3,10,16,26,70,16,-2,-4,7,0.3,60896,356.451768,7202.607725,0.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_26.0_70.0_16.0_2.0_-4.0_8.0_0.22_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_26.0_70.0_16.0_-2.0_-4.0_7.0_0.3.json,,,,,
10~16~26~70~16~2~-4~8~0.22,10,16,26,70,16,2,-4,8,0.22,60896,372.318779,7523.15423,1.27,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_26.0_70.0_16.0_4.0_-2.0_7.0_0.28_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_26.0_70.0_16.0_2.0_-4.0_8.0_0.22.json,,,,,
10~16~26~70~16~4~-2~7~0.28,10,16,26,70,16,4,-2,7,0.28,58784,737.655136,15440.76619,0.79,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_26.0_72.0_15.0_-2.0_-4.0_6.0_0.17_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_26.0_70.0_16.0_4.0_-2.0_7.0_0.28.json,,,,,
10~16~26~72~15~-2~-4~6~0.17,10,16,26,72,15,-2,-4,6,0.17,62752,385.794123,7564.858491,1.94,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_28.0_66.0_16.0_2.0_-2.0_5.0_0.09_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_26.0_72.0_15.0_-2.0_-4.0_6.0_0.17.json,,,,,
10~16~28~66~16~2~-2~5~0.09,10,16,28,66,16,2,-2,5,0.09,58432,663.253018,13967.17552,4.56,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_28.0_72.0_18.0_-8.0_-2.0_5.0_0.28_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_28.0_66.0_16.0_2.0_-2.0_5.0_0.09.json,,,,,
10~16~28~72~18~-8~-2~5~0.28,10,16,28,72,18,-8,-2,5,0.28,67840,827.055826,15001.47406,0.79,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_30.0_68.0_16.0_-8.0_-2.0_7.0_0.02_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_28.0_72.0_18.0_-8.0_-2.0_5.0_0.28.json,,,,,
10~16~30~68~16~-8~-2~7~0.02,10,16,30,68,16,-8,-2,7,0.02,68800,840.936098,15040.69767,24,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_30.0_74.0_16.0_-2.0_0.0_4.0_0.13_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_30.0_68.0_16.0_-8.0_-2.0_7.0_0.02.json,,,,,
10~16~30~74~16~-2~0~4~0.13,10,16,30,74,16,-2,0,4,0.13,67360,423.078303,7728.473872,2.85,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_32.0_66.0_18.0_-8.0_-2.0_9.0_0.1_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_30.0_74.0_16.0_-2.0_0.0_4.0_0.13.json,,,,,
10~16~32~66~18~-8~-2~9~0.1,10,16,32,66,18,-8,-2,9,0.1,71392,948.698301,16351.97221,4,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_16.0_32.0_68.0_15.0_-2.0_0.0_5.0_0.4_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_32.0_66.0_18.0_-8.0_-2.0_9.0_0.1.json,,,,,
10~16~32~68~15~-2~0~5~0.4,10,16,32,68,15,-2,0,5,0.4,66048,379.888642,7077.428537,0.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_18.0_24.0_64.0_16.0_4.0_0.0_9.0_0.45_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_16.0_32.0_68.0_15.0_-2.0_0.0_5.0_0.4.json,,,,,
10~18~24~64~16~4~0~9~0.45,10,18,24,64,16,4,0,9,0.45,45696,327.673256,8823.529412,0.11,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_18.0_24.0_74.0_19.0_6.0_0.0_5.0_0.05_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_18.0_24.0_64.0_16.0_4.0_0.0_9.0_0.45.json,,,,,
10~18~24~74~19~6~0~5~0.05,10,18,24,74,19,6,0,5,0.05,54528,423.600832,9559.125587,9,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_18.0_24.0_78.0_18.0_2.0_2.0_3.0_0.47_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_18.0_24.0_74.0_19.0_6.0_0.0_5.0_0.05.json,,,,,
10~18~24~78~18~2~2~3~0.47,10,18,24,78,18,2,2,3,0.47,58944,607.920247,12690.45874,0.06,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_18.0_28.0_70.0_15.0_-2.0_-4.0_6.0_0.3_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_18.0_24.0_78.0_18.0_2.0_2.0_3.0_0.47.json,,,,,
10~18~28~70~15~-2~-4~6~0.3,10,18,28,70,15,-2,-4,6,0.3,64832,405.073405,7688.178677,0.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_18.0_30.0_60.0_19.0_6.0_2.0_0.0_0.49_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_18.0_28.0_70.0_15.0_-2.0_-4.0_6.0_0.3.json,,,,,
10~18~30~60~19~6~2~0~0.49,10,18,30,60,19,6,2,0,0.49,58752,790.133121,16548.20261,0.02,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_18.0_30.0_70.0_15.0_-2.0_-2.0_1.0_0.26_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_18.0_30.0_60.0_19.0_6.0_2.0_0.0_0.49.json,,,,,
