in:name,in:width,in:length,in:core w.,in:core l.,in:floor height,in:shift l.,in:shift w.,in:concrete or steel,in:glass type,in:glazing ratio ,out:FLOOR AREA,out:DAYLIGHT FACT.,out:COOLING kwh,out:HEATING kwh,out:STEEL ece,out:CONC. Ece,out:GLAZING ece,out:TOTAL ece,img:Image Name,threeD
7.3-18.1-2.7-3.5-4.7-1.3-0.7-0.0-1.0-0.0,7.3,18.1,2.7,3.5,4.7,1.3,0.7,0,1,0,4435.8,71.1,184000,247675,264.6,247.0,159.6,2977305.0,7.3-18.1-2.7-3.5-4.7-1.3-0.7-0.0-1.0-0.0_0__Perspective.png,7.3-18.1-2.7-3.5-4.7-1.3-0.7-0.0-1.0-0.0.json
7.9-16.6-2.7-5.2-5.6--1.4-0.0-1.0-2.0-0.6,7.9,16.6,2.7,5.2,5.6,-1.4,0,1,2,60,4012.6,73.6,189060,256857,406.3,126.3,272.4,3230424.4,7.9-16.6-2.7-5.2-5.6--1.4-0.0-1.0-2.0-0.6_0__Perspective.png,7.9-16.6-2.7-5.2-5.6--1.4-0.0-1.0-2.0-0.6.json
8.4-15.5-3.3-4.1-4.4--1.1--0.5-0.0-1.0-0.4,8.4,15.5,3.3,4.1,4.4,-1.1,-0.5,0,1,40,4128,47.2,168127,233803,315.3,294.3,129.8,3052285.0,8.4-15.5-3.3-4.1-4.4--1.1--0.5-0.0-1.0-0.4_0__Perspective.png,8.4-15.5-3.3-4.1-4.4--1.1--0.5-0.0-1.0-0.4.json
7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-0.0-0.5,7.9,18,2.9,3.2,5.8,0.2,-0.7,1,0,50,4590.4,90.4,229756,256041,308.5,102.2,150.4,2575816.4,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-0.0-0.5_0__Perspective.png,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-0.0-0.5.json
6.3-16.2-3.3-4.9-4.4--1.0-0.0-0.0-2.0-0.6,6.3,16.2,3.3,4.9,4.4,-1,0,0,2,60,2899.7,64.6,146155,193429,305.3,285.0,280.7,2525635.9,6.3-16.2-3.3-4.9-4.4--1.0-0.0-0.0-2.0-0.6_0__Perspective.png,6.3-16.2-3.3-4.9-4.4--1.0-0.0-0.0-2.0-0.6.json
8.4-17.9-3.1-3.2-5.5-1.0-0.5-0.0-1.0-0.2,8.4,17.9,3.1,3.2,5.5,1,0.5,0,1,20,4898.5,77.6,213598,286978,302.7,282.6,163.9,3669965.0,8.4-17.9-3.1-3.2-5.5-1.0-0.5-0.0-1.0-0.2_0__Perspective.png,8.4-17.9-3.1-3.2-5.5-1.0-0.5-0.0-1.0-0.2.json
8.1-17.2-2.7-5.6-6.3--0.3--0.2-0.0-1.0-0.9,8.1,17.2,2.7,5.6,6.3,-0.3,-0.2,0,1,90,4113.8,74.8,209175,281877,384.9,359.4,163.6,3734630.0,8.1-17.2-2.7-5.6-6.3--0.3--0.2-0.0-1.0-0.9_0__Perspective.png,8.1-17.2-2.7-5.6-6.3--0.3--0.2-0.0-1.0-0.9.json
8.9-19.5-3.0-4.5-4.6--2.0--0.9-1.0-1.0-0.5,8.9,19.5,3,4.5,4.6,-2,-0.9,1,1,50,5926.8,40.4,215234,305757,383.3,86.0,110.2,3434728.7,8.9-19.5-3.0-4.5-4.6--2.0--0.9-1.0-1.0-0.5_0__Perspective.png,8.9-19.5-3.0-4.5-4.6--2.0--0.9-1.0-1.0-0.5.json
7.2-15.3-2.7-5.1-5.5-0.3--0.6-0.0-2.0-0.5,7.2,15.3,2.7,5.1,5.5,0.3,-0.6,0,2,50,3352.3,81.7,165317,221377,331.7,309.6,306.3,3176468.0,7.2-15.3-2.7-5.1-5.5-0.3--0.6-0.0-2.0-0.5_0__Perspective.png,7.2-15.3-2.7-5.1-5.5-0.3--0.6-0.0-2.0-0.5.json
8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.8,8.5,18.3,2.9,3.9,5.7,-0.8,-0.6,0,1,80,5030.9,61.5,217133,298414,343.6,320.7,134.4,4018185.0,8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.8_0__Perspective.png,8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.8.json
7.6-16.8-2.6-4.5-5.2-1.0--0.8-0.0-0.0-0.4,7.6,16.8,2.6,4.5,5.2,1,-0.8,0,0,40,4197.1,69.5,194921,226162,305.4,285.1,143.6,3080640.0,7.6-16.8-2.6-4.5-5.2-1.0--0.8-0.0-0.0-0.4_0__Perspective.png,7.6-16.8-2.6-4.5-5.2-1.0--0.8-0.0-0.0-0.4.json
6.9-16.0-3.1-3.5-5.2--1.2--1.0-0.0-1.0-0.5,6.9,16,3.1,3.5,5.2,-1.2,-1,0,1,50,3739.5,71,160301,219455,298.8,279.0,160.4,2760735.0,6.9-16.0-3.1-3.5-5.2--1.2--1.0-0.0-1.0-0.5_0__Perspective.png,6.9-16.0-3.1-3.5-5.2--1.2--1.0-0.0-1.0-0.5.json
6.4-17.0-2.7-3.4-5.9-1.4-0.3-0.0-0.0-0.7,6.4,17,2.7,3.4,5.9,1.4,0.3,0,0,70,3515.2,96.3,191621,208720,313.4,292.6,172.3,2735609.0,6.4-17.0-2.7-3.4-5.9-1.4-0.3-0.0-0.0-0.7_0__Perspective.png,6.4-17.0-2.7-3.4-5.9-1.4-0.3-0.0-0.0-0.7.json
6.9-18.0-2.6-4.8-4.4-0.3-0.4-0.0-2.0-0.4,6.9,18,2.6,4.8,4.4,0.3,0.4,0,2,40,3794.6,62.5,171498,228705,284.1,265.2,253.6,3046352.0,6.9-18.0-2.6-4.8-4.4-0.3-0.4-0.0-2.0-0.4_0__Perspective.png,6.9-18.0-2.6-4.8-4.4-0.3-0.4-0.0-2.0-0.4.json
7.7-19.2-3.1-3.2-4.7-0.1-0.1-1.0-2.0-0.5,7.7,19.2,3.1,3.2,4.7,0.1,0.1,1,2,50,4477.8,63.7,206465,268912,460.4,92.3,239.0,3545085.0,7.7-19.2-3.1-3.2-4.7-0.1-0.1-1.0-2.0-0.5_0__Perspective.png,7.7-19.2-3.1-3.2-4.7-0.1-0.1-1.0-2.0-0.5.json
7.5-18.8-2.7-3.7-4.2-0.9-0.3-0.0-1.0-0.4,7.5,18.8,2.7,3.7,4.2,0.9,0.3,0,1,40,4483.2,49.2,185702,250217,281.1,262.4,129.5,3017115.0,7.5-18.8-2.7-3.7-4.2-0.9-0.3-0.0-1.0-0.4_0__Perspective.png,7.5-18.8-2.7-3.7-4.2-0.9-0.3-0.0-1.0-0.4.json
6.8-16.4-2.6-5.4-5.0--0.2-0.1-0.0-2.0-0.3,6.8,16.4,2.6,5.4,5,-0.2,0.1,0,2,30,3190.9,86.4,166561,217363,303.5,283.3,327.5,2917487.0,6.8-16.4-2.6-5.4-5.0--0.2-0.1-0.0-2.0-0.3_0__Perspective.png,6.8-16.4-2.6-5.4-5.0--0.2-0.1-0.0-2.0-0.3.json
6.8-16.8-2.9-4.0-4.6-0.8--0.4-0.0-2.0-0.5,6.8,16.8,2.9,4,4.6,0.8,-0.4,0,2,50,3568.6,65.9,161580,215572,290.6,271.3,257.2,2923327.6,6.8-16.8-2.9-4.0-4.6-0.8--0.4-0.0-2.0-0.5_0__Perspective.png,6.8-16.8-2.9-4.0-4.6-0.8--0.4-0.0-2.0-0.5.json
6.5-16.2-3.3-4.8-4.2--1.0--0.4-0.0-2.0-0.7,6.5,16.2,3.3,4.8,4.2,-1,-0.4,0,2,70,3164.6,57.8,144432,195041,302.8,282.7,237.9,2605670.7,6.5-16.2-3.3-4.8-4.2--1.0--0.4-0.0-2.0-0.7_0__Perspective.png,6.5-16.2-3.3-4.8-4.2--1.0--0.4-0.0-2.0-0.7.json
7.9-17.2-2.8-5.3-4.6-1.5-0.7-0.0-1.0-0.5,7.9,17.2,2.8,5.3,4.6,1.5,0.7,0,1,50,4421.4,52.1,179726,247893,311.0,290.3,130.5,3235560.0,7.9-17.2-2.8-5.3-4.6-1.5-0.7-0.0-1.0-0.5_0__Perspective.png,7.9-17.2-2.8-5.3-4.6-1.5-0.7-0.0-1.0-0.5.json
8.8-16.5-2.5-5.6-6.2-0.2-0.3-0.0-0.0-0.9,8.8,16.5,2.5,5.6,6.2,0.2,0.3,0,0,90,4358,68.9,223736,267503,393.3,367.2,134.1,3898505.0,8.8-16.5-2.5-5.6-6.2-0.2-0.3-0.0-0.0-0.9_0__Perspective.png,8.8-16.5-2.5-5.6-6.2-0.2-0.3-0.0-0.0-0.9.json
7.7-16.6-2.7-4.9-5.8-1.8-0.1-0.0-0.0-0.4,7.7,16.6,2.7,4.9,5.8,1.8,0.1,0,0,40,4035,87.7,208490,233618,324.4,302.9,165.5,3198747.0,7.7-16.6-2.7-4.9-5.8-1.8-0.1-0.0-0.0-0.4_0__Perspective.png,7.7-16.6-2.7-4.9-5.8-1.8-0.1-0.0-0.0-0.4.json
6.9-16.7-3.1-4.2-5.7-0.9--0.6-1.0-1.0-0.6,6.9,16.7,3.1,4.2,5.7,0.9,-0.6,1,1,60,3647.3,89,175200,235018,369.6,126.9,180.4,2468967.1,6.9-16.7-3.1-4.2-5.7-0.9--0.6-1.0-1.0-0.6_0__Perspective.png,6.9-16.7-3.1-4.2-5.7-0.9--0.6-1.0-1.0-0.6.json
6.8-17.9-3.0-3.7-4.4-0.5-0.3-1.0-1.0-0.6,6.8,17.9,3,3.7,4.4,0.5,0.3,1,1,60,3746.7,57.5,167235,224362,440.7,102.0,143.6,2571523.5,6.8-17.9-3.0-3.7-4.4-0.5-0.3-1.0-1.0-0.6_0__Perspective.png,6.8-17.9-3.0-3.7-4.4-0.5-0.3-1.0-1.0-0.6.json
8.7-17.5-3.3-3.4-5.2--0.3-0.5-0.0-1.0-0.0,8.7,17.5,3.3,3.4,5.2,-0.3,0.5,0,1,0,4782,74.4,211502,284172,298.7,278.9,169.0,3570045.0,8.7-17.5-3.3-3.4-5.2--0.3-0.5-0.0-1.0-0.0_0__Perspective.png,8.7-17.5-3.3-3.4-5.2--0.3-0.5-0.0-1.0-0.0.json
6.9-18.4-3.4-3.9-5.7--0.7--0.5-1.0-1.0-0.7,6.9,18.4,3.4,3.9,5.7,-0.7,-0.5,1,1,70,3966.7,89.9,193152,256265,355.7,125.6,174.5,2601101.1,6.9-18.4-3.4-3.9-5.7--0.7--0.5-1.0-1.0-0.7_0__Perspective.png,6.9-18.4-3.4-3.9-5.7--0.7--0.5-1.0-1.0-0.7.json
7.9-17.6-2.6-3.2-4.6--1.4--0.6-1.0-2.0-0.5,7.9,17.6,2.6,3.2,4.6,-1.4,-0.6,1,2,50,4681.8,46.4,181671,252766,368.2,87.3,209.2,3112153.6,7.9-17.6-2.6-3.2-4.6--1.4--0.6-1.0-2.0-0.5_0__Perspective.png,7.9-17.6-2.6-3.2-4.6--1.4--0.6-1.0-2.0-0.5.json
7.9-15.3-2.8-3.6-5.7--1.4--0.2-0.0-0.0-0.2,7.9,15.3,2.8,3.6,5.7,-1.4,-0.2,0,0,20,3877.4,90.4,195757,219888,308.4,287.9,172.4,2980284.0,7.9-15.3-2.8-3.6-5.7--1.4--0.2-0.0-0.0-0.2_0__Perspective.png,7.9-15.3-2.8-3.6-5.7--1.4--0.2-0.0-0.0-0.2.json
6.4-16.0-3.3-4.7-4.0--0.9--0.2-0.0-2.0-0.7,6.4,16,3.3,4.7,4,-0.9,-0.2,0,2,70,2991.2,56.2,139393,187147,299.7,279.8,236.7,2441693.1,6.4-16.0-3.3-4.7-4.0--0.9--0.2-0.0-2.0-0.7_0__Perspective.png,6.4-16.0-3.3-4.7-4.0--0.9--0.2-0.0-2.0-0.7.json
7.9-15.3-2.9-5.0-4.1-1.4--0.2-1.0-0.0-0.2,7.9,15.3,2.9,5,4.1,1.4,-0.2,1,0,20,3736,52.2,164586,200895,505.9,88.9,128.7,2703007.9,7.9-15.3-2.9-5.0-4.1-1.4--0.2-1.0-0.0-0.2_0__Perspective.png,7.9-15.3-2.9-5.0-4.1-1.4--0.2-1.0-0.0-0.2.json
8.6-16.8-2.9-5.1-4.8-1.1--0.7-0.0-1.0-0.1,8.6,16.8,2.9,5.1,4.8,1.1,-0.7,0,1,10,4640.9,63.4,192492,264777,306.3,285.9,150.5,3446650.0,8.6-16.8-2.9-5.1-4.8-1.1--0.7-0.0-1.0-0.1_0__Perspective.png,8.6-16.8-2.9-5.1-4.8-1.1--0.7-0.0-1.0-0.1.json
8.1-16.7-3.0-4.8-4.2--1.5--0.1-0.0-1.0-0.6,8.1,16.7,3,4.8,4.2,-1.5,-0.1,0,1,60,4195.9,41.3,173729,238317,315.8,294.8,118.3,3058740.0,8.1-16.7-3.0-4.8-4.2--1.5--0.1-0.0-1.0-0.6_0__Perspective.png,8.1-16.7-3.0-4.8-4.2--1.5--0.1-0.0-1.0-0.6.json
6.9-15.8-2.5-4.3-5.5--0.2--0.8-0.0-2.0-0.4,6.9,15.8,2.5,4.3,5.5,-0.2,-0.8,0,2,40,3477.3,92,164752,221486,305.8,285.5,311.5,3139031.7,6.9-15.8-2.5-4.3-5.5--0.2--0.8-0.0-2.0-0.4_0__Perspective.png,6.9-15.8-2.5-4.3-5.5--0.2--0.8-0.0-2.0-0.4.json
7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.1,7.8,15.2,3,4.3,5.7,1.6,-0.4,0,1,10,3811.2,92.7,178001,239076,306.9,286.5,197.1,3012515.0,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.1_0__Perspective.png,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.1.json
6.2-17.5-3.3-4.8-4.9-0.1--0.2-1.0-2.0-0.2,6.2,17.5,3.3,4.8,4.9,0.1,-0.2,1,2,20,3063.5,97.7,169309,213968,502.4,109.0,354.9,2960051.9,6.2-17.5-3.3-4.8-4.9-0.1--0.2-1.0-2.0-0.2_0__Perspective.png,6.2-17.5-3.3-4.8-4.9-0.1--0.2-1.0-2.0-0.2.json
6.7-18.6-2.7-4.2-5.6-0.4--0.7-1.0-1.0-0.0,6.7,18.6,2.7,4.2,5.6,0.4,-0.7,1,1,0,3995,100,199083,253384,309.7,83.2,210.3,2409669.3,6.7-18.6-2.7-4.2-5.6-0.4--0.7-1.0-1.0-0.0_0__Perspective.png,6.7-18.6-2.7-4.2-5.6-0.4--0.7-1.0-1.0-0.0.json
6.9-15.6-2.5-3.2-6.2-0.0--0.9-0.0-1.0-0.5,6.9,15.6,2.5,3.2,6.2,0,-0.9,0,1,50,3525.4,96.3,170994,230486,314.0,293.1,198.7,2840885.0,6.9-15.6-2.5-3.2-6.2-0.0--0.9-0.0-1.0-0.5_0__Perspective.png,6.9-15.6-2.5-3.2-6.2-0.0--0.9-0.0-1.0-0.5.json
6.9-18.6-3.1-4.0-5.4-1.7-0.7-1.0-0.0-0.8,6.9,18.6,3.1,4,5.4,1.7,0.7,1,0,80,4275.5,74.5,200595,234447,367.8,119.1,136.9,2666905.6,6.9-18.6-3.1-4.0-5.4-1.7-0.7-1.0-0.0-0.8_0__Perspective.png,6.9-18.6-3.1-4.0-5.4-1.7-0.7-1.0-0.0-0.8.json
7.2-16.8-3.3-4.9-6.0--1.2--0.8-0.0-0.0-0.5,7.2,16.8,3.3,4.9,6,-1.2,-0.8,0,0,50,3860.2,92.3,201280,227931,331.1,309.1,172.0,3135520.0,7.2-16.8-3.3-4.9-6.0--1.2--0.8-0.0-0.0-0.5_0__Perspective.png,7.2-16.8-3.3-4.9-6.0--1.2--0.8-0.0-0.0-0.5.json
6.7-19.4-3.2-5.5-5.1--1.2-0.1-0.0-1.0-0.4,6.7,19.4,3.2,5.5,5.1,-1.2,0.1,0,1,40,3832.8,81.3,194519,251967,298.5,278.6,184.8,2920110.0,6.7-19.4-3.2-5.5-5.1--1.2-0.1-0.0-1.0-0.4_0__Perspective.png,6.7-19.4-3.2-5.5-5.1--1.2-0.1-0.0-1.0-0.4.json
