in:name,in:width,in:length,in:core w.,in:core l.,in:floor height,in:shift l.,in:shift w.,in:concrete or steel,in:glass type,in:glazing ratio ,out:FLOOR AREA,out:DAYLIGHT FACT.,out:COOLING kwh,out:HEATING kwh,out:STEEL ece,out:CONC. Ece,out:GLAZING ece,out:TOTAL ece,img:Image Name,threeD
8.1-17.3-2.5-3.3-4.6--1.5--0.8-1.0-2.0-0.5,8.1,17.3,2.5,3.3,4.6,-1.5,-0.8,1,2,50,4815.1,44.9,180595,254271,354.3,86.6,201.5,3093005.3,8.1-17.3-2.5-3.3-4.6--1.5--0.8-1.0-2.0-0.5_0__Perspective.png,8.1-17.3-2.5-3.3-4.6--1.5--0.8-1.0-2.0-0.5.json
6.0-18.0-3.4-3.5-4.3-1.4-0.1-0.0-2.0-0.1,6,18,3.4,3.5,4.3,1.4,0.1,0,2,10,3316.6,73.7,158370,204701,252.0,235.3,299.8,2610121.8,6.0-18.0-3.4-3.5-4.3-1.4-0.1-0.0-2.0-0.1_0__Perspective.png,6.0-18.0-3.4-3.5-4.3-1.4-0.1-0.0-2.0-0.1.json
8.5-19.3-3.1-4.6-6.2-1.0--0.8-0.0-1.0-0.8,8.5,19.3,3.1,4.6,6.2,1,-0.8,0,1,80,5348.6,69.3,237549,323254,352.2,328.9,144.4,4415160.0,8.5-19.3-3.1-4.6-6.2-1.0--0.8-0.0-1.0-0.8_0__Perspective.png,8.5-19.3-3.1-4.6-6.2-1.0--0.8-0.0-1.0-0.8.json
7.5-18.8-2.5-3.2-5.0--0.7-0.3-0.0-1.0-0.9,7.5,18.8,2.5,3.2,5,-0.7,0.3,0,1,90,4512.3,57.1,196601,264083,312.5,291.7,128.5,3306105.0,7.5-18.8-2.5-3.2-5.0--0.7-0.3-0.0-1.0-0.9_0__Perspective.png,7.5-18.8-2.5-3.2-5.0--0.7-0.3-0.0-1.0-0.9.json
7.8-17.3-3.1-3.7-5.8-1.8-0.6-1.0-0.0-0.6,7.8,17.3,3.1,3.7,5.8,1.8,0.6,1,0,60,4511.2,76.6,211368,246799,405.1,112.6,142.4,2978006.3,7.8-17.3-3.1-3.7-5.8-1.8-0.6-1.0-0.0-0.6_0__Perspective.png,7.8-17.3-3.1-3.7-5.8-1.8-0.6-1.0-0.0-0.6.json
6.9-18.8-3.3-5.7-5.4-0.0--0.5-1.0-1.0-0.4,6.9,18.8,3.3,5.7,5.4,0,-0.5,1,1,40,3774.7,91.7,194308,256069,319.6,120.0,194.6,2393916.5,6.9-18.8-3.3-5.7-5.4-0.0--0.5-1.0-1.0-0.4_0__Perspective.png,6.9-18.8-3.3-5.7-5.4-0.0--0.5-1.0-1.0-0.4.json
8.4-19.1-2.6-3.2-5.4--0.5-0.8-0.0-0.0-0.9,8.4,19.1,2.6,3.2,5.4,-0.5,0.8,0,0,90,5325.8,52.1,233396,281079,331.4,309.4,109.7,3997426.0,8.4-19.1-2.6-3.2-5.4--0.5-0.8-0.0-0.0-0.9_0__Perspective.png,8.4-19.1-2.6-3.2-5.4--0.5-0.8-0.0-0.0-0.9.json
6.3-19.9-3.4-4.1-6.3--1.4-0.5-1.0-0.0-0.9,6.3,19.9,3.4,4.1,6.3,-1.4,0.5,1,0,90,3999.4,99.4,225361,245018,396.7,142.5,175.4,2858060.0,6.3-19.9-3.4-4.1-6.3--1.4-0.5-1.0-0.0-0.9_0__Perspective.png,6.3-19.9-3.4-4.1-6.3--1.4-0.5-1.0-0.0-0.9.json
8.6-15.0-2.5-5.5-6.2-0.7--0.9-0.0-0.0-0.9,8.6,15,2.5,5.5,6.2,0.7,-0.9,0,0,90,4141.4,62.8,198534,242245,393.6,367.4,128.8,3685048.0,8.6-15.0-2.5-5.5-6.2-0.7--0.9-0.0-0.0-0.9_0__Perspective.png,8.6-15.0-2.5-5.5-6.2-0.7--0.9-0.0-0.0-0.9.json
7.6-16.3-2.8-4.7-5.2-1.1--0.8-0.0-0.0-0.1,7.6,16.3,2.8,4.7,5.2,1.1,-0.8,0,0,10,4035.5,85.7,191858,219475,292.9,273.4,161.8,2938260.0,7.6-16.3-2.8-4.7-5.2-1.1--0.8-0.0-0.0-0.1_0__Perspective.png,7.6-16.3-2.8-4.7-5.2-1.1--0.8-0.0-0.0-0.1.json
