in:Depth,in:Height,in:Orientation,in:WWR,in:SHD,out:Cooling[kWh],out:Heating[kWh],out:Lighting[kWh],out:EffDepth[m],out:DA,out:UDI,out:CDA,out:SDA,img,threeD
6,3.6,135,0.4,0,1206.867349,3524.847523,104.308334,4.25,57.291667,77.083333,87.5,73.96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_6.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_6.0_RMH_3.6.json
6,4.2,135,0.4,0,1320.823488,3831.729911,68.324069,5.75,60.416667,73.958333,100,87.5,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_6.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_6.0_RMH_4.2.json
8,3,135,0.4,0,1318.286151,3978.134885,409.100439,3.75,37.5,61.111111,50,47.92,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_8.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_8.0_RMH_3.0.json
8,3.6,135,0.4,0,1446.150044,4349.970264,329.450831,4.25,40.972222,69.444444,56.25,50.69,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_8.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_8.0_RMH_3.6.json
8,4.2,135,0.4,0,1566.570126,4699.486667,298.492086,4.25,43.75,77.777778,61.805556,56.25,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_8.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_8.0_RMH_4.2.json
10,3,180,0.4,0,1539.029747,4690.948475,985.065021,3.25,27.777778,48.888889,40,35,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.0.json
10,3.6,180,0.4,0,1600.892071,5138.017664,866.67329,3.75,30,49.444444,43.888889,39.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.6.json
10,4.2,180,0.4,0,1727.329948,5553.301973,831.336929,4.25,35,50.555556,45,43.33,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_4.2.json
6,3,180,0.4,0,946.409294,3305.286803,158.089725,3.75,49.074074,88.888889,70.37037,62.96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_6.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_6.0_RMH_3.0.json
6,3.6,180,0.4,0,1032.945415,3634.309473,102.351836,4.25,51.851852,82.407407,79.62963,71.3,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_6.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_6.0_RMH_3.6.json
