Name,in:Top of Handle,in:Bottom of Handle,in:Length of Handle,in:Radius of Mug,in:Height of Mug,out:Volume of Liquid,out:Weight of Mug,out:Ratio of Mug to Handle,out:Ratio of Mug to Liquid,img:Image Name,threeD
0.6464-0.1837-1.37875-1.6906-1.803,0.6464,0.1837,1.37875,1.6906,1.803,11.189,0.44,0.068,0.476,Frame_00286.bmp,d3_286.json
0.888-0.2302-1.7515-1.922-1.237,0.888,0.2302,1.7515,1.922,1.237,9.66,0.43,0.112,0.538,Frame_00287.bmp,d3_287.json
0.5016-0.3862-0.55625-0.7845-1.698,0.5016,0.3862,0.55625,0.7845,1.698,1.608,0.142,0.031,1.069,Frame_00288.bmp,d3_288.json
0.5052-0.3463-1.11275-1.1407-1.983,0.5052,0.3463,1.11275,1.1407,1.983,4.957,0.276,0.064,0.674,Frame_00289.bmp,d3_289.json
0.702-0.2287-0.71375-1.649-1.047,0.702,0.2287,0.71375,1.649,1.047,5.587,0.285,0.028,0.616,Frame_00290.bmp,d3_290.json
0.7088-0.2623-1.68325-1.7504-1.131,0.7088,0.2623,1.68325,1.7504,1.131,7.031,0.356,0.12,0.612,Frame_00291.bmp,d3_291.json
0.838-0.2065-1.21425-1.3266-1.135,0.838,0.2065,1.21425,1.3266,1.135,3.728,0.231,0.103,0.749,Frame_00292.bmp,d3_292.json
0.7352-0.2419-0.6665-1.0978-1.163,0.7352,0.2419,0.6665,1.0978,1.163,2.439,0.169,0.045,0.837,Frame_00293.bmp,d3_293.json
0.5-0.3379-1.67275-1.9363-1.462,0.5,0.3379,1.67275,1.9363,1.462,11.953,0.472,0.084,0.477,Frame_00294.bmp,d3_294.json
0.8392-0.2803-0.99725-1.0497-1.534,0.8392,0.2803,0.99725,1.0497,1.534,3.026,0.204,0.086,0.814,Frame_00295.bmp,d3_295.json
0.7128-0.3451-1.73225-0.7507-1.205,0.7128,0.3451,1.73225,0.7507,1.205,0.958,0.136,0.413,1.72,Frame_00296.bmp,d3_296.json
0.8744-0.1039-1.85125-1.6282-1.28,0.8744,0.1039,1.85125,1.6282,1.28,6.921,0.357,0.16,0.624,Frame_00297.bmp,d3_297.json
0.6716-0.2842-0.33575-1.7504-1.391,0.6716,0.2842,0.33575,1.7504,1.391,8.994,0.365,0.007,0.491,Frame_00298.bmp,d3_298.json
0.7596-0.2209-1.461-1.9077-1.11,0.7596,0.2209,1.461,1.9077,1.11,8.337,0.389,0.082,0.563,Frame_00299.bmp,d3_299.json
0.7156-0.2749-0.57725-0.9288-1.983,0.7156,0.2749,0.57725,0.9288,1.983,2.975,0.204,0.036,0.83,Frame_00300.bmp,d3_300.json
0.7848-0.2848-0.7995-1.0484-1.199,0.7848,0.2848,0.7995,1.0484,1.199,2.259,0.165,0.065,0.88,Frame_00301.bmp,d3_301.json
0.8684-0.1342-1.2125-1.0549-1.598,0.8684,0.1342,1.2125,1.0549,1.598,3.21,0.22,0.128,0.828,Frame_00302.bmp,d3_302.json
0.5112-0.2521-1.14425-1.0601-1.199,0.5112,0.2521,1.14425,1.0601,1.199,2.322,0.175,0.111,0.91,Frame_00303.bmp,d3_303.json
0.7296-0.2674-1.16525-0.7325-1.734,0.7296,0.2674,1.16525,0.7325,1.734,1.367,0.148,0.162,1.31,Frame_00304.bmp,d3_304.json
0.654-0.3229-0.257-1.428-1.812,0.654,0.3229,0.257,1.428,1.812,7.637,0.33,0.006,0.522,Frame_00305.bmp,d3_305.json
0.678-0.3724-1.11975-0.9054-1.995,0.678,0.3724,1.11975,0.9054,1.995,2.806,0.21,0.095,0.904,Frame_00306.bmp,d3_306.json
0.8792-0.289-1.42425-0.7728-1.492,0.8792,0.289,1.42425,0.7728,1.492,1.332,0.15,0.25,1.362,Frame_00307.bmp,d3_307.json
0.6276-0.3094-1.38225-1.3695-1.358,0.6276,0.3094,1.38225,1.3695,1.358,4.976,0.275,0.103,0.668,Frame_00308.bmp,d3_308.json
0.6256-0.1192-1.60625-0.973-1.363,0.6256,0.1192,1.60625,0.973,1.363,2.183,0.19,0.233,1.049,Frame_00309.bmp,d3_309.json
0.5568-0.3673-0.97625-1.6477-1.535,0.5568,0.3673,0.97625,1.6477,1.535,8.79,0.368,0.036,0.506,Frame_00310.bmp,d3_310.json
0.8924-0.118-0.53175-1.2733-1.597,0.8924,0.118,0.53175,1.2733,1.597,5.056,0.261,0.032,0.624,Frame_00311.bmp,d3_311.json
0.8872-0.2836-1.5695-1.2915-1.753,0.8872,0.2836,1.5695,1.2915,1.753,5.813,0.315,0.135,0.654,Frame_00312.bmp,d3_312.json
0.5048-0.2848-0.93425-1.0614-1.649,0.5048,0.2848,0.93425,1.0614,1.649,3.378,0.215,0.059,0.768,Frame_00313.bmp,d3_313.json
0.6588-0.3505-1.04625-1.7192-1.88,0.6588,0.3505,1.04625,1.7192,1.88,12.181,0.451,0.037,0.448,Frame_00314.bmp,d3_314.json
0.8504-0.3733-0.264-1.5658-1.419,0.8504,0.3733,0.264,1.5658,1.419,7.144,0.314,0.007,0.532,Frame_00315.bmp,d3_315.json
0.6284-0.3904-1.63775-0.9561-1.67,0.6284,0.3904,1.63775,0.9561,1.67,2.64,0.213,0.201,0.975,Frame_00316.bmp,d3_316.json
0.7216-0.2479-1.594-1.5099-1.013,0.7216,0.2479,1.594,1.5099,1.013,4.382,0.271,0.144,0.747,Frame_00317.bmp,d3_317.json
0.8552-0.2407-0.6525-1.2954-1.524,0.8552,0.2407,0.6525,1.2954,1.524,4.991,0.259,0.035,0.627,Frame_00318.bmp,d3_318.json
0.7824-0.3832-0.58425-1.6893-1.346,0.7824,0.3832,0.58425,1.6893,1.346,7.985,0.343,0.017,0.518,Frame_00319.bmp,d3_319.json
0.7792-0.3016-1.118-1.428-1.965,0.7792,0.3016,1.118,1.428,1.965,8.362,0.368,0.058,0.533,Frame_00320.bmp,d3_320.json
0.6228-0.2305-1.3525-1.8037-1.659,0.6228,0.2305,1.3525,1.8037,1.659,11.788,0.452,0.061,0.464,Frame_00321.bmp,d3_321.json
0.5276-0.1153-1.1145-0.7273-1.276,0.5276,0.1153,1.1145,0.7273,1.276,0.94,0.114,0.18,1.469,Frame_00322.bmp,d3_322.json
0.8996-0.3457-1.22475-1.7192-1.198,0.8996,0.3457,1.22475,1.7192,1.198,7.236,0.342,0.068,0.572,Frame_00323.bmp,d3_323.json
0.7076-0.3544-1.594-1.0432-1.761,0.7076,0.3544,1.594,1.0432,1.761,3.487,0.244,0.168,0.844,Frame_00324.bmp,d3_324.json
0.8712-0.2815-1.99475-1.038-1.173,0.8712,0.2815,1.99475,1.038,1.173,2.147,0.204,0.361,1.148,Frame_00325.bmp,d3_325.json
0.8728-0.3157-0.6805-1.116-1.721,0.8728,0.3157,0.6805,1.116,1.721,4.009,0.233,0.042,0.704,Frame_00326.bmp,d3_326.json
0.7592-0.2413-0.65775-1.0003-1.363,0.7592,0.2413,0.65775,1.0003,1.363,2.34,0.167,0.048,0.865,Frame_00327.bmp,d3_327.json
0.5476-0.3586-1.8565-1.9519-1.943,0.5476,0.3586,1.8565,1.9519,1.943,16.806,0.578,0.085,0.416,Frame_00328.bmp,d3_328.json
0.8348-0.3922-0.614-0.9366-1.524,0.8348,0.3922,0.614,0.9366,1.524,2.257,0.166,0.043,0.891,Frame_00329.bmp,d3_329.json
0.8548-0.2158-0.96225-1.4319-1.827,0.8548,0.2158,0.96225,1.4319,1.827,7.757,0.348,0.053,0.542,Frame_00330.bmp,d3_330.json
0.84-0.3712-0.65425-1.7387-1.037,0.84,0.3712,0.65425,1.7387,1.037,6.226,0.306,0.022,0.593,Frame_00331.bmp,d3_331.json
0.7804-0.2311-0.8975-1.5788-1.727,0.7804,0.2311,0.8975,1.5788,1.727,9.12,0.377,0.039,0.5,Frame_00332.bmp,d3_332.json
0.64-0.3412-0.5545-1.09-1.627,0.64,0.3412,0.5545,1.09,1.627,3.551,0.213,0.024,0.724,Frame_00333.bmp,d3_333.json
0.7112-0.2755-0.8205-1.2473-1.079,0.7112,0.2755,0.8205,1.2473,1.079,3.029,0.195,0.053,0.777,Frame_00334.bmp,d3_334.json
0.7624-0.3787-1.657-1.116-1.923,0.7624,0.3787,1.657,1.116,1.923,4.542,0.284,0.157,0.756,Frame_00335.bmp,d3_335.json
0.8812-0.2188-1.67625-1.6555-1.286,0.8812,0.2188,1.67625,1.6555,1.286,7.228,0.357,0.127,0.597,Frame_00336.bmp,d3_336.json
0.718-0.1936-1.44525-1.3409-1.871,0.718,0.1936,1.44525,1.3409,1.871,6.833,0.339,0.103,0.6,Frame_00337.bmp,d3_337.json
0.7972-0.172-1.00775-0.9509-1.661,0.7972,0.172,1.00775,0.9509,1.661,2.588,0.192,0.102,0.898,Frame_00338.bmp,d3_338.json
0.7724-0.2473-0.6735-1.0068-1.593,0.7724,0.2473,0.6735,1.0068,1.593,2.849,0.191,0.048,0.812,Frame_00339.bmp,d3_339.json
0.5128-0.34-1.839-1.4202-1.996,0.5128,0.34,1.839,1.4202,1.996,8.401,0.395,0.127,0.568,Frame_00340.bmp,d3_340.json
0.6204-0.118-1.97375-1.3279-1.17,0.6204,0.118,1.97375,1.3279,1.17,3.877,0.267,0.244,0.832,Frame_00341.bmp,d3_341.json
0.868-0.13-1.8425-1.8375-1.084,0.868,0.13,1.8425,1.8375,1.084,7.447,0.381,0.142,0.619,Frame_00342.bmp,d3_342.json
0.622-0.2866-1.3595-1.207-1.181,0.622,0.2866,1.3595,1.207,1.181,3.125,0.213,0.132,0.822,Frame_00343.bmp,d3_343.json
0.5152-0.1363-1.44-1.2564-1.883,0.5152,0.1363,1.44,1.2564,1.883,5.901,0.313,0.104,0.64,Frame_00344.bmp,d3_344.json
0.6148-0.1456-0.481-1.688-1.398,0.6148,0.1456,0.481,1.688,1.398,8.333,0.35,0.014,0.507,Frame_00345.bmp,d3_345.json
0.5656-0.3061-1.24225-1.6451-1.891,0.5656,0.3061,1.24225,1.6451,1.891,11.094,0.433,0.052,0.471,Frame_00346.bmp,d3_346.json
0.5612-0.2461-0.705-1.6607-1.984,0.5612,0.2461,0.705,1.6607,1.984,11.958,0.44,0.019,0.445,Frame_00347.bmp,d3_347.json
0.694-0.1978-0.59825-1.1186-1.95,0.694,0.1978,0.59825,1.1186,1.95,4.639,0.257,0.032,0.669,Frame_00348.bmp,d3_348.json
0.7572-0.1987-1.2265-0.8417-1.356,0.7572,0.1987,1.2265,0.8417,1.356,1.495,0.147,0.178,1.188,Frame_00349.bmp,d3_349.json
0.5232-0.3571-1.73925-0.7715-1.554,0.5232,0.3571,1.73925,0.7715,1.554,1.389,0.164,0.317,1.429,Frame_00350.bmp,d3_350.json
0.864-0.1357-1.08825-1.571-1.708,0.864,0.1357,1.08825,1.571,1.708,8.905,0.379,0.061,0.514,Frame_00351.bmp,d3_351.json
0.5596-0.3781-0.64375-0.8105-1.005,0.5596,0.3781,0.64375,0.8105,1.005,0.943,0.099,0.06,1.264,Frame_00352.bmp,d3_352.json
0.5928-0.2596-0.57025-1.9779-1.93,0.5928,0.2596,0.57025,1.9779,1.93,17.18,0.546,0.011,0.384,Frame_00353.bmp,d3_353.json
0.8268-0.2083-1.81625-1.2265-1.696,0.8268,0.2083,1.81625,1.2265,1.696,4.952,0.3,0.192,0.732,Frame_00354.bmp,d3_354.json
0.7848-0.3766-0.87475-1.3214-1.24,0.7848,0.3766,0.87475,1.3214,1.24,4.109,0.233,0.051,0.686,Frame_00355.bmp,d3_355.json
0.8832-0.2779-0.29025-1.2252-1.339,0.8832,0.2779,0.29025,1.2252,1.339,3.761,0.213,0.013,0.684,Frame_00356.bmp,d3_356.json
0.6228-0.3505-1.146-0.9236-1.981,0.6228,0.3505,1.146,0.9236,1.981,2.93,0.214,0.095,0.884,Frame_00357.bmp,d3_357.json
0.5132-0.1024-1.28075-0.739-1.835,0.5132,0.1024,1.28075,0.739,1.835,1.492,0.16,0.177,1.294,Frame_00358.bmp,d3_358.json
0.7228-0.13-0.44775-1.1121-1.718,0.7228,0.13,0.44775,1.1121,1.718,3.967,0.228,0.026,0.695,Frame_00359.bmp,d3_359.json
0.544-0.1438-1.2545-0.9314-1.538,0.544,0.1438,1.2545,0.9314,1.538,2.249,0.182,0.14,0.978,Frame_00360.bmp,d3_360.json
0.7784-0.3883-1.0305-1.1654-1.842,0.7784,0.3883,1.0305,1.1654,1.842,4.808,0.268,0.065,0.672,Frame_00361.bmp,d3_361.json
0.8952-0.3283-0.25175-1.259-1.75,0.8952,0.3283,0.25175,1.259,1.75,5.461,0.271,0.011,0.599,Frame_00362.bmp,d3_362.json
0.722-0.3712-1.68675-1.6698-1.698,0.722,0.3712,1.68675,1.6698,1.698,10.167,0.427,0.1,0.508,Frame_00363.bmp,d3_363.json
0.6584-0.106-0.2675-0.7026-1.897,0.6584,0.106,0.2675,0.7026,1.897,1.347,0.134,0.025,1.2,Frame_00364.bmp,d3_364.json
0.8236-0.3316-1.762-1.441-1.139,0.8236,0.3316,1.762,1.441,1.139,4.543,0.28,0.176,0.744,Frame_00365.bmp,d3_365.json
0.7444-0.3424-0.32-1.6867-1.129,0.7444,0.3424,0.32,1.6867,1.129,6.451,0.303,0.007,0.567,Frame_00366.bmp,d3_366.json
0.8244-0.1057-1.727-1.8245-1.642,0.8244,0.1057,1.727,1.8245,1.642,11.955,0.475,0.106,0.48,Frame_00367.bmp,d3_367.json
0.638-0.2167-0.51775-1.129-1.993,0.638,0.2167,0.51775,1.129,1.993,4.861,0.263,0.023,0.653,Frame_00368.bmp,d3_368.json
0.6084-0.1018-0.5265-1.064-1.279,0.6084,0.1018,0.5265,1.064,1.279,2.53,0.171,0.032,0.818,Frame_00369.bmp,d3_369.json
0.7608-0.1837-0.89225-1.5034-1.321,0.7608,0.1837,0.89225,1.5034,1.321,5.983,0.293,0.046,0.591,Frame_00370.bmp,d3_370.json
0.536-0.1408-1.24925-1.064-1.729,0.536,0.1408,1.24925,1.064,1.729,3.586,0.234,0.107,0.787,Frame_00371.bmp,d3_371.json
0.8696-0.1288-1.783-0.9847-1.23,0.8696,0.1288,1.783,0.9847,1.23,1.992,0.189,0.315,1.147,Frame_00372.bmp,d3_372.json
0.5716-0.3163-0.67175-1.0913-1.938,0.5716,0.3163,0.67175,1.0913,1.938,4.338,0.247,0.029,0.689,Frame_00373.bmp,d3_373.json
0.714-0.118-1.92125-0.8339-1.352,0.714,0.118,1.92125,0.8339,1.352,1.454,0.174,0.415,1.446,Frame_00374.bmp,d3_374.json
0.5024-0.3598-1.43825-0.7117-1.625,0.5024,0.3598,1.43825,0.7117,1.625,1.172,0.143,0.233,1.477,Frame_00375.bmp,d3_375.json
0.8208-0.2839-1.27025-1.077-1.487,0.8208,0.2839,1.27025,1.077,1.487,3.11,0.214,0.127,0.831,Frame_00376.bmp,d3_376.json
0.6328-0.2323-0.98675-1.2694-1.038,0.6328,0.2323,0.98675,1.2694,1.038,3.011,0.198,0.073,0.796,Frame_00377.bmp,d3_377.json
0.77-0.2341-1.23525-0.8768-1.717,0.77,0.2341,1.23525,0.8768,1.717,2.183,0.185,0.147,1.023,Frame_00378.bmp,d3_378.json
0.5996-0.2539-1.8845-0.8287-1.813,0.5996,0.2539,1.8845,0.8287,1.813,2.003,0.205,0.306,1.236,Frame_00379.bmp,d3_379.json
0.72-0.3295-1.74975-1.1446-1.743,0.72,0.3295,1.74975,1.1446,1.743,4.325,0.277,0.18,0.773,Frame_00380.bmp,d3_380.json
0.7364-0.1969-0.71025-1.0458-1.314,0.7364,0.1969,0.71025,1.0458,1.314,2.504,0.174,0.053,0.84,Frame_00381.bmp,d3_381.json
0.5896-0.2368-1.2335-1.5515-1.926,0.5896,0.2368,1.2335,1.5515,1.926,9.904,0.407,0.058,0.496,Frame_00382.bmp,d3_382.json
0.6244-0.2539-1.27375-1.6503-1.898,0.6244,0.2539,1.27375,1.6503,1.898,11.22,0.438,0.057,0.471,Frame_00383.bmp,d3_383.json
0.7948-0.1897-1.65525-1.0419-1.262,0.7948,0.1897,1.65525,1.0419,1.262,2.365,0.198,0.242,1.01,Frame_00384.bmp,d3_384.json
0.5348-0.2488-1.68325-1.2005-1.103,0.5348,0.2488,1.68325,1.2005,1.103,2.84,0.215,0.21,0.914,Frame_00385.bmp,d3_385.json
0.6972-0.3793-1.26325-0.9535-1.075,0.6972,0.3793,1.26325,0.9535,1.075,1.561,0.145,0.171,1.126,Frame_00386.bmp,d3_386.json
0.5148-0.3268-0.67175-1.4098-1.895,0.5148,0.3268,0.67175,1.4098,1.895,7.794,0.34,0.02,0.527,Frame_00387.bmp,d3_387.json
0.5032-0.1531-0.52125-0.8599-1.813,0.5032,0.1531,0.52125,0.8599,1.813,2.207,0.17,0.031,0.931,Frame_00388.bmp,d3_388.json
0.5872-0.3655-1.839-0.9717-1.406,0.5872,0.3655,1.839,0.9717,1.406,2.256,0.202,0.281,1.081,Frame_00389.bmp,d3_389.json
0.794-0.3784-0.6035-0.9613-1.076,0.794,0.3784,0.6035,0.9613,1.076,1.595,0.131,0.045,0.995,Frame_00390.bmp,d3_390.json
0.6004-0.3883-1.28775-0.804-1.655,0.6004,0.3883,1.28775,0.804,1.655,1.668,0.161,0.159,1.17,Frame_00391.bmp,d3_391.json
0.5376-0.2509-1.7865-0.9119-1.821,0.5376,0.2509,1.7865,0.9119,1.821,2.581,0.222,0.239,1.039,Frame_00392.bmp,d3_392.json
0.6172-0.3631-0.8905-1.4527-1.889,0.6172,0.3631,0.8905,1.4527,1.889,8.327,0.358,0.033,0.519,Frame_00393.bmp,d3_393.json
0.722-0.1813-0.3165-1.7868-1.889,0.722,0.1813,0.3165,1.7868,1.889,13.361,0.464,0.008,0.42,Frame_00394.bmp,d3_394.json
0.7236-0.1429-1.44-1.2837-1.043,0.7236,0.1429,1.44,1.2837,1.043,3.11,0.217,0.153,0.844,Frame_00395.bmp,d3_395.json
0.5808-0.2764-1.3175-1.9727-1.367,0.5808,0.2764,1.3175,1.9727,1.367,11.521,0.452,0.055,0.474,Frame_00396.bmp,d3_396.json
0.726-0.3184-0.9115-0.8547-1.824,0.726,0.3184,0.9115,0.8547,1.824,2.187,0.177,0.081,0.981,Frame_00397.bmp,d3_397.json
0.5304-0.1486-0.53-1.8583-1.801,0.5304,0.1486,0.53,1.8583,1.801,13.831,0.477,0.012,0.416,Frame_00398.bmp,d3_398.json
0.702-0.1897-1.986-1.0926-1.52,0.702,0.1897,1.986,1.0926,1.52,3.304,0.251,0.275,0.919,Frame_00399.bmp,d3_399.json
0.6364-0.2557-0.824-1.116-1.85,0.6364,0.2557,0.824,1.116,1.85,4.349,0.249,0.047,0.692,Frame_00400.bmp,d3_400.json
0.6856-0.3667-0.8905-1.1043-1.516,0.6856,0.3667,0.8905,1.1043,1.516,3.381,0.211,0.057,0.755,Frame_00401.bmp,d3_401.json
0.5428-0.1843-0.502-0.7468-1.453,0.5428,0.1843,0.502,0.7468,1.453,1.177,0.117,0.039,1.199,Frame_00402.bmp,d3_402.json
0.7024-0.3679-1.82325-1.7348-1.256,0.7024,0.3679,1.82325,1.7348,1.256,7.815,0.379,0.132,0.586,Frame_00403.bmp,d3_403.json
0.7256-0.2494-0.6805-1.6815-1.813,0.7256,0.2494,0.6805,1.6815,1.813,11.122,0.42,0.022,0.456,Frame_00404.bmp,d3_404.json
0.6572-0.133-0.50725-0.7455-1.384,0.6572,0.133,0.50725,0.7455,1.384,1.107,0.113,0.05,1.229,Frame_00405.bmp,d3_405.json
0.604-0.1453-0.90975-1.9077-1.701,0.604,0.1453,0.90975,1.9077,1.701,13.752,0.484,0.029,0.425,Frame_00406.bmp,d3_406.json
0.7728-0.1777-0.7575-0.8664-1.903,0.7728,0.1777,0.7575,0.8664,1.903,2.376,0.185,0.07,0.942,Frame_00407.bmp,d3_407.json
0.77-0.2083-0.3655-1.4839-1.716,0.77,0.2083,0.3655,1.4839,1.716,7.851,0.335,0.013,0.516,Frame_00408.bmp,d3_408.json
0.8176-0.1054-0.467-1.2681-1.294,0.8176,0.1054,0.467,1.2681,1.294,3.921,0.221,0.026,0.68,Frame_00409.bmp,d3_409.json
0.7448-0.22-0.593-0.7598-1.955,0.7448,0.22,0.593,0.7598,1.955,1.728,0.157,0.055,1.098,Frame_00410.bmp,d3_410.json
0.8368-0.1816-1.25275-1.3591-1.457,0.8368,0.1816,1.25275,1.3591,1.457,5.306,0.284,0.095,0.646,Frame_00411.bmp,d3_411.json
0.6412-0.3226-0.82925-1.9051-1.255,0.6412,0.3226,0.82925,1.9051,1.255,9.636,0.396,0.025,0.496,Frame_00412.bmp,d3_412.json
0.882-0.3709-0.6245-1.1342-1.77,0.882,0.3709,0.6245,1.1342,1.77,4.305,0.242,0.035,0.681,Frame_00413.bmp,d3_413.json
0.5984-0.2809-1.59925-1.8596-1.58,0.5984,0.2809,1.59925,1.8596,1.58,11.941,0.466,0.08,0.471,Frame_00414.bmp,d3_414.json
0.5812-0.2293-1.37525-0.7494-1.018,0.5812,0.2293,1.37525,0.7494,1.018,0.776,0.109,0.3,1.695,Frame_00415.bmp,d3_415.json
0.6496-0.3958-1.4925-1.662-1.772,0.6496,0.3958,1.4925,1.662,1.772,10.556,0.428,0.075,0.49,Frame_00416.bmp,d3_416.json
0.844-0.3865-0.82925-1.9649-1.858,0.844,0.3865,0.82925,1.9649,1.858,16.225,0.533,0.023,0.397,Frame_00417.bmp,d3_417.json
0.664-0.3058-1.6185-1.571-1.55,0.664,0.3058,1.6185,1.571,1.55,7.972,0.369,0.107,0.56,Frame_00418.bmp,d3_418.json
0.8732-0.1087-0.49325-1.1511-1.761,0.8732,0.1087,0.49325,1.1511,1.761,4.436,0.245,0.034,0.669,Frame_00419.bmp,d3_419.json
0.8564-0.3409-1.63075-1.5658-1.048,0.8564,0.3409,1.63075,1.5658,1.048,4.97,0.292,0.141,0.709,Frame_00420.bmp,d3_420.json
0.5032-0.2887-0.78025-1.3045-1.752,0.5032,0.2887,0.78025,1.3045,1.752,5.948,0.291,0.031,0.591,Frame_00421.bmp,d3_421.json
0.6644-0.2884-1.18625-1.3344-1.083,0.6644,0.2884,1.18625,1.3344,1.083,3.57,0.224,0.093,0.759,Frame_00422.bmp,d3_422.json
0.6464-0.1096-1.28425-0.9015-1.395,0.6464,0.1096,1.28425,0.9015,1.395,1.847,0.165,0.171,1.078,Frame_00423.bmp,d3_423.json
0.8996-0.2713-0.67175-1.3175-1.36,0.8996,0.2713,0.67175,1.3175,1.36,4.551,0.244,0.037,0.649,Frame_00424.bmp,d3_424.json
0.724-0.346-0.425-1.1446-1.647,0.724,0.346,0.425,1.1446,1.647,4.056,0.228,0.017,0.679,Frame_00425.bmp,d3_425.json
0.5692-0.1876-0.768-1.0588-1.127,0.5692,0.1876,0.768,1.0588,1.127,2.148,0.158,0.057,0.891,Frame_00426.bmp,d3_426.json
0.7284-0.1588-0.32525-1.5983-1.763,0.7284,0.1588,0.32525,1.5983,1.763,9.601,0.379,0.01,0.477,Frame_00427.bmp,d3_427.json
0.5924-0.2956-1.7655-0.9873-1.447,0.5924,0.2956,1.7655,0.9873,1.447,2.428,0.206,0.251,1.026,Frame_00428.bmp,d3_428.json
0.8124-0.145-0.7645-1.4631-1.183,0.8124,0.145,0.7645,1.4631,1.183,4.927,0.26,0.041,0.637,Frame_00429.bmp,d3_429.json
0.86-0.2311-1.972-1.9363-1.761,0.86,0.2311,1.972,1.9363,1.761,14.784,0.548,0.115,0.448,Frame_00430.bmp,d3_430.json
0.6276-0.2686-0.7995-1.0965-1.487,0.6276,0.2686,0.7995,1.0965,1.487,3.25,0.205,0.05,0.761,Frame_00431.bmp,d3_431.json
0.5752-0.2584-1.93-1.7621-1.578,0.5752,0.2584,1.93,1.7621,1.578,10.564,0.448,0.125,0.513,Frame_00432.bmp,d3_432.json
0.5472-0.1996-0.7015-1.1693-1.511,0.5472,0.1996,0.7015,1.1693,1.511,3.87,0.224,0.036,0.698,Frame_00433.bmp,d3_433.json
0.5676-0.3964-1.82325-1.2083-1.164,0.5676,0.3964,1.82325,1.2083,1.164,3.079,0.229,0.232,0.901,Frame_00434.bmp,d3_434.json
0.6388-0.3115-0.28325-0.7351-1.579,0.6388,0.3115,0.28325,0.7351,1.579,1.24,0.12,0.016,1.172,Frame_00435.bmp,d3_435.json
0.6636-0.2578-1.14775-0.9054-1.746,0.6636,0.2578,1.14775,0.9054,1.746,2.417,0.19,0.114,0.952,Frame_00436.bmp,d3_436.json
0.7944-0.1921-0.85375-1.3682-1.808,0.7944,0.1921,0.85375,1.3682,1.808,6.894,0.322,0.046,0.564,Frame_00437.bmp,d3_437.json
0.5036-0.3646-1.53975-0.9639-1.574,0.5036,0.3646,1.53975,0.9639,1.574,2.519,0.202,0.181,0.969,Frame_00438.bmp,d3_438.json
0.7808-0.3073-0.334-1.5359-1.328,0.7808,0.3073,0.334,1.5359,1.328,6.324,0.293,0.01,0.56,Frame_00439.bmp,d3_439.json
0.6796-0.3676-1.881-0.7975-1.014,0.6796,0.3676,1.881,0.7975,1.014,0.913,0.138,0.506,1.822,Frame_00440.bmp,d3_440.json
0.8644-0.2611-1.286-1.7218-1.414,0.8644,0.2611,1.286,1.7218,1.414,8.833,0.382,0.07,0.523,Frame_00441.bmp,d3_441.json
0.7452-0.2626-0.7505-1.6438-1.078,0.7452,0.2626,0.7505,1.6438,1.078,5.75,0.289,0.031,0.608,Frame_00442.bmp,d3_442.json
0.7648-0.1042-1.65175-0.7923-1.842,0.7648,0.1042,1.65175,0.7923,1.842,1.81,0.191,0.283,1.278,Frame_00443.bmp,d3_443.json
0.8244-0.3958-1.55025-1.4189-1.502,0.8244,0.3958,1.55025,1.4189,1.502,6.077,0.315,0.118,0.627,Frame_00444.bmp,d3_444.json
0.6144-0.175-1.46625-1.7608-1.461,0.6144,0.175,1.46625,1.7608,1.461,9.651,0.408,0.08,0.511,Frame_00445.bmp,d3_445.json
0.762-0.2968-0.90625-1.6074-1.129,0.762,0.2968,0.90625,1.6074,1.129,5.781,0.291,0.043,0.608,Frame_00446.bmp,d3_446.json
0.7068-0.2779-1.0165-0.8872-1.834,0.7068,0.2779,1.0165,0.8872,1.834,2.424,0.19,0.094,0.945,Frame_00447.bmp,d3_447.json
0.5792-0.3142-1.2265-0.83-1.194,0.5792,0.3142,1.2265,0.83,1.194,1.239,0.131,0.181,1.272,Frame_00448.bmp,d3_448.json
0.6864-0.2788-0.26925-0.8625-1.912,0.6864,0.2788,0.26925,0.8625,1.912,2.361,0.176,0.014,0.9,Frame_00449.bmp,d3_449.json
0.7752-0.3667-1.95975-1.7413-1.517,0.7752,0.3667,1.95975,1.7413,1.517,9.829,0.433,0.136,0.533,Frame_00450.bmp,d3_450.json
0.6848-0.1444-0.91325-1.4436-1.727,0.6848,0.1444,0.91325,1.4436,1.727,7.419,0.335,0.046,0.545,Frame_00451.bmp,d3_451.json
0.7644-0.3523-1.608-1.1212-1.759,0.7644,0.3523,1.608,1.1212,1.759,4.156,0.266,0.158,0.773,Frame_00452.bmp,d3_452.json
0.8824-0.1498-1.27725-1.4748-1.561,0.8824,0.1498,1.27725,1.4748,1.561,6.949,0.333,0.088,0.579,Frame_00453.bmp,d3_453.json
0.5272-0.2725-1.39975-1.0068-1.643,0.5272,0.2725,1.39975,1.0068,1.643,2.951,0.214,0.14,0.877,Frame_00454.bmp,d3_454.json
0.5384-0.2281-1.37525-1.1654-1.036,0.5384,0.2281,1.37525,1.1654,1.036,2.448,0.187,0.154,0.926,Frame_00455.bmp,d3_455.json
0.776-0.1717-1.2475-1.8739-1.773,0.776,0.1717,1.2475,1.8739,1.773,13.846,0.496,0.054,0.433,Frame_00456.bmp,d3_456.json
