Name,in:Top of Handle,in:Bottom of Handle,in:Length of Handle,in:Radius of Mug,in:Height of Mug,out:Volume of Liquid,out:Weight of Mug,out:Ratio of Mug to Handle,out:Ratio of Mug to Liquid,img:Image Name,threeD
0.88-0.1168-0.922-1.1173-1.989,0.88,0.1168,0.922,1.1173,1.989,4.729,0.271,0.076,0.692,Frame_00169.bmp,d3_169.json
0.7576-0.3316-0.31475-1.9077-1.733,0.7576,0.3316,0.31475,1.9077,1.733,14.045,0.479,0.006,0.412,Frame_00170.bmp,d3_170.json
0.8208-0.1255-1.85825-1.1784-1.32,0.8208,0.1255,1.85825,1.1784,1.32,3.368,0.245,0.25,0.88,Frame_00171.bmp,d3_171.json
0.7572-0.2188-0.4775-0.7572-1.835,0.7572,0.2188,0.4775,0.7572,1.835,1.595,0.146,0.043,1.107,Frame_00172.bmp,d3_172.json
0.8132-0.2797-1.2545-1.2213-1.257,0.8132,0.2797,1.2545,1.2213,1.257,3.464,0.222,0.114,0.776,Frame_00173.bmp,d3_173.json
0.6576-0.205-0.4355-0.9925-1.803,0.6576,0.205,0.4355,0.9925,1.803,3.163,0.203,0.024,0.777,Frame_00174.bmp,d3_174.json
0.8236-0.3523-0.32525-1.2304-1.829,0.8236,0.3523,0.32525,1.2304,1.829,5.434,0.272,0.013,0.606,Frame_00175.bmp,d3_175.json
0.6132-0.1741-1.90725-1.3201-1.719,0.6132,0.1741,1.90725,1.3201,1.719,5.987,0.332,0.178,0.671,Frame_00176.bmp,d3_176.json
0.7476-0.2788-1.223-1.2629-1.938,0.7476,0.2788,1.223,1.2629,1.938,6.169,0.315,0.08,0.617,Frame_00177.bmp,d3_177.json
0.6668-0.2893-1.251-1.4254-1.677,0.6668,0.2893,1.251,1.4254,1.677,6.968,0.33,0.073,0.573,Frame_00178.bmp,d3_178.json
0.5608-0.2926-1.1845-1.7881-1.198,0.5608,0.2926,1.1845,1.7881,1.198,7.907,0.359,0.055,0.549,Frame_00179.bmp,d3_179.json
0.6404-0.2443-1.9685-0.7832-1.595,0.6404,0.2443,1.9685,0.7832,1.595,1.491,0.182,0.402,1.477,Frame_00180.bmp,d3_180.json
0.6172-0.2995-1.66925-0.8638-1.923,0.6172,0.2995,1.66925,0.8638,1.923,2.385,0.213,0.218,1.077,Frame_00181.bmp,d3_181.json
0.884-0.1123-1.14425-1.3994-1.037,0.884,0.1123,1.14425,1.3994,1.037,3.783,0.234,0.094,0.746,Frame_00182.bmp,d3_182.json
